#    L    TT             EE             BB             TE          
   201   0.559004E+04   0.690378E+00   0.145734E-01  -0.137297E+02
   202   0.560187E+04   0.691047E+00   0.147351E-01  -0.124417E+02
   203   0.561310E+04   0.692637E+00   0.148975E-01  -0.111320E+02
   204   0.562365E+04   0.695169E+00   0.150606E-01  -0.980335E+01
   205   0.563366E+04   0.698688E+00   0.152246E-01  -0.845369E+01
   206   0.564300E+04   0.703233E+00   0.153893E-01  -0.708425E+01
   207   0.565181E+04   0.708826E+00   0.155547E-01  -0.569550E+01
   208   0.565986E+04   0.715520E+00   0.157208E-01  -0.428797E+01
   209   0.566731E+04   0.723336E+00   0.158877E-01  -0.286206E+01
   210   0.567416E+04   0.732328E+00   0.160552E-01  -0.141866E+01
   211   0.568040E+04   0.742526E+00   0.162235E-01   0.421359E-01
   212   0.568589E+04   0.753960E+00   0.163924E-01   0.151939E+01
   213   0.569085E+04   0.766675E+00   0.165619E-01   0.301312E+01
   214   0.569512E+04   0.780663E+00   0.167321E-01   0.452212E+01
   215   0.569880E+04   0.796118E+00   0.169029E-01   0.604562E+01
   216   0.570180E+04   0.812856E+00   0.170744E-01   0.758413E+01
   217   0.570426E+04   0.831032E+00   0.172464E-01   0.913563E+01
   218   0.570605E+04   0.850646E+00   0.174190E-01   0.107003E+02
   219   0.570724E+04   0.871700E+00   0.175922E-01   0.122792E+02
   220   0.570782E+04   0.894341E+00   0.177659E-01   0.138677E+02
   221   0.570779E+04   0.918496E+00   0.179401E-01   0.154681E+02
   222   0.570716E+04   0.944314E+00   0.181149E-01   0.170789E+02
   223   0.570578E+04   0.971720E+00   0.182901E-01   0.187008E+02
   224   0.570395E+04   0.100072E+01   0.184658E-01   0.203301E+02
   225   0.570143E+04   0.103145E+01   0.186420E-01   0.219698E+02
   226   0.569832E+04   0.106392E+01   0.188186E-01   0.236160E+02
   227   0.569452E+04   0.109813E+01   0.189956E-01   0.252704E+02
   228   0.569020E+04   0.113408E+01   0.191730E-01   0.269314E+02
   229   0.568527E+04   0.117184E+01   0.193508E-01   0.285974E+02
   230   0.567966E+04   0.121142E+01   0.195289E-01   0.302693E+02
   231   0.567337E+04   0.125288E+01   0.197074E-01   0.319463E+02
   232   0.566656E+04   0.129615E+01   0.198862E-01   0.336268E+02
   233   0.565914E+04   0.134147E+01   0.200653E-01   0.353094E+02
   234   0.565097E+04   0.138867E+01   0.202447E-01   0.369948E+02
   235   0.564227E+04   0.143783E+01   0.204243E-01   0.386815E+02
   236   0.563290E+04   0.148896E+01   0.206041E-01   0.403695E+02
   237   0.562292E+04   0.154213E+01   0.207841E-01   0.420573E+02
   238   0.561233E+04   0.159741E+01   0.209643E-01   0.437449E+02
   239   0.560122E+04   0.165465E+01   0.211446E-01   0.454315E+02
   240   0.558936E+04   0.171393E+01   0.213251E-01   0.471149E+02
   241   0.557704E+04   0.177539E+01   0.215057E-01   0.487958E+02
   242   0.556411E+04   0.183890E+01   0.216864E-01   0.504735E+02
   243   0.555059E+04   0.190459E+01   0.218671E-01   0.521465E+02
   244   0.553646E+04   0.197239E+01   0.220479E-01   0.538155E+02
   245   0.552173E+04   0.204238E+01   0.222286E-01   0.554775E+02
   246   0.550647E+04   0.211456E+01   0.224094E-01   0.571341E+02
   247   0.549068E+04   0.218886E+01   0.225901E-01   0.587829E+02
   248   0.547429E+04   0.226563E+01   0.227707E-01   0.604239E+02
   249   0.545745E+04   0.234438E+01   0.229513E-01   0.620565E+02
   250   0.544000E+04   0.242553E+01   0.231318E-01   0.636790E+02
   251   0.542209E+04   0.250880E+01   0.233121E-01   0.652924E+02
   252   0.540351E+04   0.259440E+01   0.234922E-01   0.668949E+02
   253   0.538463E+04   0.268212E+01   0.236722E-01   0.684852E+02
   254   0.536514E+04   0.277224E+01   0.238520E-01   0.700633E+02
   255   0.534513E+04   0.286447E+01   0.240316E-01   0.716291E+02
   256   0.532466E+04   0.295919E+01   0.242109E-01   0.731827E+02
   257   0.530374E+04   0.305594E+01   0.243899E-01   0.747158E+02
   258   0.528230E+04   0.315509E+01   0.245686E-01   0.762411E+02
   259   0.526040E+04   0.325650E+01   0.247471E-01   0.777437E+02
   260   0.523812E+04   0.336016E+01   0.249252E-01   0.792385E+02
   261   0.521532E+04   0.346600E+01   0.251029E-01   0.807032E+02
   262   0.519199E+04   0.357424E+01   0.252803E-01   0.821600E+02
   263   0.516851E+04   0.368466E+01   0.254573E-01   0.836015E+02
   264   0.514442E+04   0.379733E+01   0.256339E-01   0.850204E+02
   265   0.511982E+04   0.391217E+01   0.258101E-01   0.864090E+02
   266   0.509491E+04   0.402941E+01   0.259858E-01   0.877899E+02
   267   0.506947E+04   0.414868E+01   0.261610E-01   0.891405E+02
   268   0.504366E+04   0.427034E+01   0.263358E-01   0.904759E+02
   269   0.501733E+04   0.439410E+01   0.265101E-01   0.917885E+02
   270   0.499077E+04   0.452003E+01   0.266839E-01   0.930784E+02
   271   0.496375E+04   0.464806E+01   0.268572E-01   0.943455E+02
   272   0.493652E+04   0.477847E+01   0.270299E-01   0.955825E+02
   273   0.490883E+04   0.491069E+01   0.272021E-01   0.968041E+02
   274   0.488084E+04   0.504529E+01   0.273737E-01   0.979881E+02
   275   0.485248E+04   0.518177E+01   0.275448E-01   0.991568E+02
   276   0.482389E+04   0.532034E+01   0.277153E-01   0.100288E+03
   277   0.479485E+04   0.546099E+01   0.278852E-01   0.101404E+03
