#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.417863E+00   0.373791E+06   0.372024E+06   0.104303E+00  -0.535545E-01   0.000000E+00   0.373518E+06   0.373518E+06   0.373518E+06  -0.887785E-02   0.195825E+06   0.195821E+06   0.309860E-02
   0.423226E+00   0.366478E+06   0.364740E+06   0.996868E-01  -0.511845E-01   0.000000E+00   0.366209E+06   0.366209E+06   0.366209E+06  -0.870414E-02   0.191994E+06   0.191990E+06   0.300570E-02
   0.428588E+00   0.359488E+06   0.357782E+06   0.953536E-01  -0.489596E-01   0.000000E+00   0.359224E+06   0.359224E+06   0.359224E+06  -0.853812E-02   0.188331E+06   0.188328E+06   0.291156E-02
   0.433951E+00   0.352814E+06   0.351144E+06   0.912848E-01  -0.468704E-01   0.000000E+00   0.352556E+06   0.352556E+06   0.352556E+06  -0.837962E-02   0.184835E+06   0.184832E+06   0.281735E-02
   0.439314E+00   0.346413E+06   0.344780E+06   0.874541E-01  -0.449035E-01   0.000000E+00   0.346160E+06   0.346160E+06   0.346160E+06  -0.822761E-02   0.181482E+06   0.181479E+06   0.272487E-02
   0.444676E+00   0.340223E+06   0.338627E+06   0.838326E-01  -0.430440E-01   0.000000E+00   0.339976E+06   0.339976E+06   0.339976E+06  -0.808063E-02   0.178240E+06   0.178237E+06   0.263600E-02
   0.450039E+00   0.334196E+06   0.332634E+06   0.803969E-01  -0.412799E-01   0.000000E+00   0.333954E+06   0.333954E+06   0.333954E+06  -0.793749E-02   0.175083E+06   0.175080E+06   0.255227E-02
   0.455402E+00   0.328303E+06   0.326773E+06   0.771303E-01  -0.396027E-01   0.000000E+00   0.328067E+06   0.328067E+06   0.328067E+06  -0.779755E-02   0.171996E+06   0.171993E+06   0.247449E-02
   0.460764E+00   0.322525E+06   0.321023E+06   0.740194E-01  -0.380053E-01   0.000000E+00   0.322293E+06   0.322293E+06   0.322293E+06  -0.766032E-02   0.168969E+06   0.168966E+06   0.240263E-02
   0.466127E+00   0.316846E+06   0.315369E+06   0.710525E-01  -0.364820E-01   0.000000E+00   0.316618E+06   0.316618E+06   0.316618E+06  -0.752544E-02   0.165994E+06   0.165991E+06   0.233592E-02
   0.471490E+00   0.311271E+06   0.309816E+06   0.682232E-01  -0.350293E-01   0.000000E+00   0.311046E+06   0.311046E+06   0.311046E+06  -0.739300E-02   0.163073E+06   0.163069E+06   0.227318E-02
   0.476852E+00   0.305824E+06   0.304391E+06   0.655302E-01  -0.336466E-01   0.000000E+00   0.305602E+06   0.305602E+06   0.305602E+06  -0.726362E-02   0.160219E+06   0.160216E+06   0.221319E-02
