#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   163   0.478046E+04  -0.444425E+02   0.203516E-03  -0.444425E+02   0.992722E+00  -0.201953E-07   0.203516E-03  -0.201953E-07   0.745431E-07
   164   0.480972E+04  -0.441350E+02   0.201662E-03  -0.441350E+02   0.982971E+00  -0.385753E-07   0.201662E-03  -0.385753E-07   0.741235E-07
   165   0.483883E+04  -0.437996E+02   0.199828E-03  -0.437996E+02   0.972921E+00  -0.582070E-07   0.199828E-03  -0.582070E-07   0.737073E-07
   166   0.486764E+04  -0.434376E+02   0.198012E-03  -0.434376E+02   0.962720E+00  -0.786982E-07   0.198012E-03  -0.786982E-07   0.732945E-07
   167   0.489621E+04  -0.430499E+02   0.196217E-03  -0.430499E+02   0.952146E+00  -0.996566E-07   0.196217E-03  -0.996566E-07   0.728851E-07
   168   0.492433E+04  -0.426341E+02   0.194441E-03  -0.426341E+02   0.941572E+00  -0.120690E-06   0.194441E-03  -0.120690E-06   0.724791E-07
   169   0.495214E+04  -0.421903E+02   0.192686E-03  -0.421903E+02   0.930700E+00  -0.141407E-06   0.192686E-03  -0.141407E-06   0.720764E-07
   170   0.497964E+04  -0.417199E+02   0.190952E-03  -0.417199E+02   0.919756E+00  -0.161414E-06   0.190952E-03  -0.161414E-06   0.716771E-07
   171   0.500669E+04  -0.412208E+02   0.189239E-03  -0.412208E+02   0.908738E+00  -0.180319E-06   0.189239E-03  -0.180319E-06   0.712811E-07
   172   0.503335E+04  -0.406943E+02   0.187547E-03  -0.406943E+02   0.897575E+00  -0.197731E-06   0.187547E-03  -0.197731E-06   0.708883E-07
   173   0.505955E+04  -0.401405E+02   0.185877E-03  -0.401405E+02   0.886266E+00  -0.213257E-06   0.185877E-03  -0.213257E-06   0.704988E-07
   174   0.508544E+04  -0.395593E+02   0.184229E-03  -0.395593E+02   0.875110E+00  -0.226505E-06   0.184229E-03  -0.226505E-06   0.701125E-07
   175   0.511094E+04  -0.389501E+02   0.182603E-03  -0.389501E+02   0.863810E+00  -0.237082E-06   0.182603E-03  -0.237082E-06   0.697294E-07
   176   0.513590E+04  -0.383127E+02   0.181000E-03  -0.383127E+02   0.852590E+00  -0.244688E-06   0.181000E-03  -0.244688E-06   0.693495E-07
