#    L    TT             EE             TE             PP             TP          
   120   0.335494E+04   0.102186E+01  -0.358678E+02   0.440778E+07   0.521075E+04
   121   0.338929E+04   0.103099E+01  -0.364360E+02   0.438124E+07   0.515285E+04
   122   0.342371E+04   0.103959E+01  -0.369937E+02   0.435489E+07   0.509602E+04
   123   0.345819E+04   0.104775E+01  -0.375408E+02   0.432872E+07   0.504026E+04
   124   0.349275E+04   0.105554E+01  -0.380742E+02   0.430273E+07   0.498557E+04
   125   0.352729E+04   0.106287E+01  -0.385960E+02   0.427693E+07   0.493194E+04
   126   0.356190E+04   0.106982E+01  -0.391055E+02   0.425130E+07   0.487938E+04
   127   0.359650E+04   0.107625E+01  -0.396017E+02   0.422586E+07   0.482788E+04
   128   0.363109E+04   0.108230E+01  -0.400838E+02   0.420060E+07   0.477744E+04
   129   0.366574E+04   0.108782E+01  -0.405511E+02   0.417553E+07   0.472806E+04
   130   0.370037E+04   0.109281E+01  -0.410027E+02   0.415064E+07   0.467973E+04
   131   0.373499E+04   0.109741E+01  -0.414401E+02   0.412594E+07   0.463246E+04
   132   0.376967E+04   0.110148E+01  -0.418601E+02   0.410142E+07   0.458619E+04
   133   0.380426E+04   0.110509E+01  -0.422652E+02   0.407709E+07   0.454091E+04
   134   0.383884E+04   0.110824E+01  -0.426509E+02   0.405294E+07   0.449655E+04
   135   0.387341E+04   0.111086E+01  -0.430201E+02   0.402897E+07   0.445308E+04
   136   0.390782E+04   0.111294E+01  -0.433692E+02   0.400519E+07   0.441046E+04
   137   0.394222E+04   0.111457E+01  -0.437005E+02   0.398158E+07   0.436865E+04
   138   0.397654E+04   0.111566E+01  -0.440125E+02   0.395815E+07   0.432761E+04
   139   0.401063E+04   0.111637E+01  -0.443044E+02   0.393491E+07   0.428730E+04
   140   0.404479E+04   0.111647E+01  -0.445771E+02   0.391183E+07   0.424766E+04
   141   0.407872E+04   0.111604E+01  -0.448284E+02   0.388894E+07   0.420868E+04
   142   0.411266E+04   0.111514E+01  -0.450590E+02   0.386622E+07   0.417029E+04
   143   0.414651E+04   0.111379E+01  -0.452689E+02   0.384367E+07   0.413247E+04
   144   0.418015E+04   0.111191E+01  -0.454575E+02   0.382130E+07   0.409516E+04
   145   0.421363E+04   0.110964E+01  -0.456240E+02   0.379910E+07   0.405834E+04
   146   0.424720E+04   0.110676E+01  -0.457684E+02   0.377707E+07   0.402195E+04
   147   0.428039E+04   0.110349E+01  -0.458893E+02   0.375521E+07   0.398596E+04
   148   0.431345E+04   0.109970E+01  -0.459883E+02   0.373352E+07   0.395033E+04
   149   0.434643E+04   0.109544E+01  -0.460638E+02   0.371200E+07   0.391501E+04
   150   0.437912E+04   0.109080E+01  -0.461136E+02   0.369064E+07   0.387996E+04
   151   0.441168E+04   0.108570E+01  -0.461408E+02   0.366945E+07   0.384516E+04
   152   0.444394E+04   0.108006E+01  -0.461438E+02   0.364843E+07   0.381059E+04
   153   0.447607E+04   0.107404E+01  -0.461205E+02   0.362757E+07   0.377626E+04
   154   0.450797E+04   0.106764E+01  -0.460729E+02   0.360687E+07   0.374219E+04
   155   0.453966E+04   0.106086E+01  -0.460005E+02   0.358634E+07   0.370837E+04
   156   0.457098E+04   0.105369E+01  -0.459031E+02   0.356596E+07   0.367482E+04
   157   0.460223E+04   0.104614E+01  -0.457793E+02   0.354575E+07   0.364153E+04
   158   0.463318E+04   0.103829E+01  -0.456298E+02   0.352570E+07   0.360851E+04
   159   0.466384E+04   0.102998E+01  -0.454546E+02   0.350580E+07   0.357578E+04
   160   0.469427E+04   0.102137E+01  -0.452522E+02   0.348607E+07   0.354334E+04
   161   0.472448E+04   0.101253E+01  -0.450240E+02   0.346649E+07   0.351118E+04
   162   0.475439E+04   0.100331E+01  -0.447701E+02   0.344706E+07   0.347933E+04
   163   0.478414E+04   0.993794E+00  -0.444890E+02   0.342779E+07   0.344778E+04
   164   0.481345E+04   0.984047E+00  -0.441821E+02   0.340868E+07   0.341654E+04
   165   0.484260E+04   0.974000E+00  -0.438472E+02   0.338972E+07   0.338562E+04
   166   0.487145E+04   0.963801E+00  -0.434858E+02   0.337091E+07   0.335502E+04
   167   0.490006E+04   0.953228E+00  -0.430985E+02   0.335225E+07   0.332475E+04
   168   0.492822E+04   0.942654E+00  -0.426833E+02   0.333374E+07   0.329481E+04
   169   0.495608E+04   0.931782E+00  -0.422399E+02   0.331538E+07   0.326521E+04
   170   0.498363E+04   0.920837E+00  -0.417700E+02   0.329716E+07   0.323597E+04
   171   0.501072E+04   0.909817E+00  -0.412713E+02   0.327910E+07   0.320707E+04
   172   0.503742E+04   0.898651E+00  -0.407453E+02   0.326118E+07   0.317854E+04
   173   0.506367E+04   0.887339E+00  -0.401919E+02   0.324341E+07   0.315036E+04
   174   0.508960E+04   0.876178E+00  -0.396112E+02   0.322578E+07   0.312256E+04
   175   0.511514E+04   0.864873E+00  -0.390023E+02   0.320830E+07   0.309514E+04
   176   0.514015E+04   0.853646E+00  -0.383653E+02   0.319096E+07   0.306810E+04
   177   0.516477E+04   0.842425E+00  -0.377017E+02   0.317375E+07   0.304143E+04
   178   0.518893E+04   0.831432E+00  -0.370099E+02   0.315669E+07   0.301513E+04
   179   0.521262E+04   0.820372E+00  -0.362901E+02   0.313977E+07   0.298918E+04
   180   0.523601E+04   0.809467E+00  -0.355436E+02   0.312299E+07   0.296358E+04
   181   0.525885E+04   0.798719E+00  -0.347704E+02   0.310634E+07   0.293831E+04
   182   0.528123E+04   0.788202E+00  -0.339692E+02   0.308983E+07   0.291337E+04
