#    L    TT             EE             BB             TE             PP             TP             EP          
   107   0.291941E+04   0.873821E+00   0.000000E+00  -0.278044E+02   0.104157E-06   0.359137E-03  -0.132586E-06
   108   0.295207E+04   0.887019E+00   0.000000E+00  -0.284563E+02   0.103511E-06   0.354830E-03  -0.127937E-06
   109   0.298488E+04   0.899928E+00   0.000000E+00  -0.291050E+02   0.102870E-06   0.350590E-03  -0.131824E-06
   110   0.301777E+04   0.912552E+00   0.000000E+00  -0.297493E+02   0.102233E-06   0.346416E-03  -0.144568E-06
   111   0.305082E+04   0.924968E+00   0.000000E+00  -0.303907E+02   0.101600E-06   0.342309E-03  -0.166270E-06
   112   0.308403E+04   0.937099E+00   0.000000E+00  -0.310283E+02   0.100971E-06   0.338268E-03  -0.196154E-06
   113   0.311747E+04   0.948946E+00   0.000000E+00  -0.316606E+02   0.100346E-06   0.334292E-03  -0.233223E-06
   114   0.315099E+04   0.960432E+00   0.000000E+00  -0.322868E+02   0.997261E-07   0.330383E-03  -0.276483E-06
   115   0.318474E+04   0.971705E+00   0.000000E+00  -0.329068E+02   0.991101E-07   0.326539E-03  -0.324938E-06
   116   0.321849E+04   0.982540E+00   0.000000E+00  -0.335198E+02   0.984984E-07   0.322760E-03  -0.377596E-06
   117   0.325254E+04   0.993010E+00   0.000000E+00  -0.341248E+02   0.978910E-07   0.319046E-03  -0.433462E-06
   118   0.328673E+04   0.100326E+01   0.000000E+00  -0.347227E+02   0.972877E-07   0.315398E-03  -0.491544E-06
   119   0.332093E+04   0.101315E+01   0.000000E+00  -0.353110E+02   0.966888E-07   0.311815E-03  -0.550847E-06
   120   0.335528E+04   0.102251E+01   0.000000E+00  -0.358897E+02   0.960942E-07   0.308296E-03  -0.610382E-06
   121   0.338962E+04   0.103166E+01   0.000000E+00  -0.364587E+02   0.955038E-07   0.304842E-03  -0.669154E-06
   122   0.342403E+04   0.104028E+01   0.000000E+00  -0.370171E+02   0.949177E-07   0.301452E-03  -0.726174E-06
