#    L    TT             EE             TE             PP             TP          
   278   0.477033E+04   0.556372E+01   0.102996E+03   0.198838E+07   0.129908E+04
   279   0.474068E+04   0.570884E+01   0.104057E+03   0.198019E+07   0.128790E+04
   280   0.471073E+04   0.585592E+01   0.105102E+03   0.197206E+07   0.127680E+04
   281   0.468062E+04   0.600505E+01   0.106109E+03   0.196398E+07   0.126578E+04
   282   0.465006E+04   0.615593E+01   0.107086E+03   0.195595E+07   0.125484E+04
   283   0.461934E+04   0.630877E+01   0.108032E+03   0.194797E+07   0.124399E+04
   284   0.458840E+04   0.646352E+01   0.108948E+03   0.194004E+07   0.123321E+04
   285   0.455723E+04   0.662015E+01   0.109834E+03   0.193217E+07   0.122251E+04
   286   0.452575E+04   0.677853E+01   0.110682E+03   0.192434E+07   0.121189E+04
   287   0.449405E+04   0.693866E+01   0.111508E+03   0.191655E+07   0.120134E+04
   288   0.446219E+04   0.710053E+01   0.112295E+03   0.190882E+07   0.119087E+04
   289   0.443010E+04   0.726407E+01   0.113052E+03   0.190113E+07   0.118047E+04
   290   0.439787E+04   0.742913E+01   0.113779E+03   0.189349E+07   0.117014E+04
   291   0.436548E+04   0.759646E+01   0.114460E+03   0.188590E+07   0.115988E+04
   292   0.433263E+04   0.776493E+01   0.115118E+03   0.187835E+07   0.114969E+04
   293   0.429994E+04   0.793418E+01   0.115731E+03   0.187085E+07   0.113957E+04
   294   0.426694E+04   0.810570E+01   0.116321E+03   0.186339E+07   0.112952E+04
   295   0.423401E+04   0.827798E+01   0.116866E+03   0.185598E+07   0.111954E+04
   296   0.420078E+04   0.845254E+01   0.117380E+03   0.184861E+07   0.110962E+04
   297   0.416748E+04   0.862712E+01   0.117864E+03   0.184128E+07   0.109976E+04
   298   0.413395E+04   0.880396E+01   0.118302E+03   0.183400E+07   0.108997E+04
   299   0.410041E+04   0.898232E+01   0.118703E+03   0.182676E+07   0.108023E+04
   300   0.406672E+04   0.916071E+01   0.119065E+03   0.181956E+07   0.107056E+04
   301   0.403296E+04   0.934062E+01   0.119397E+03   0.181240E+07   0.106095E+04
   302   0.399920E+04   0.952130E+01   0.119699E+03   0.180529E+07   0.105140E+04
   303   0.396535E+04   0.970349E+01   0.119955E+03   0.179821E+07   0.104191E+04
   304   0.393143E+04   0.988720E+01   0.120166E+03   0.179118E+07   0.103248E+04
   305   0.389751E+04   0.100709E+02   0.120346E+03   0.178418E+07   0.102310E+04
   306   0.386352E+04   0.102554E+02   0.120488E+03   0.177723E+07   0.101379E+04
   307   0.382952E+04   0.104407E+02   0.120585E+03   0.177031E+07   0.100454E+04
   308   0.379552E+04   0.106282E+02   0.120658E+03   0.176344E+07   0.995349E+03
   309   0.376160E+04   0.108149E+02   0.120679E+03   0.175660E+07   0.986218E+03
   310   0.372760E+04   0.110017E+02   0.120670E+03   0.174980E+07   0.977149E+03
   311   0.369367E+04   0.111908E+02   0.120615E+03   0.174304E+07   0.968141E+03
   312   0.365982E+04   0.113790E+02   0.120529E+03   0.173632E+07   0.959195E+03
   313   0.362597E+04   0.115681E+02   0.120398E+03   0.172964E+07   0.950309E+03
   314   0.359219E+04   0.117579E+02   0.120237E+03   0.172299E+07   0.941486E+03
   315   0.355849E+04   0.119469E+02   0.120030E+03   0.171639E+07   0.932724E+03
   316   0.352486E+04   0.121367E+02   0.119786E+03   0.170982E+07   0.924025E+03
   317   0.349131E+04   0.123258E+02   0.119503E+03   0.170328E+07   0.915387E+03
   318   0.345783E+04   0.125163E+02   0.119182E+03   0.169678E+07   0.906812E+03
   319   0.342451E+04   0.127061E+02   0.118824E+03   0.169032E+07   0.898300E+03
   320   0.339133E+04   0.128959E+02   0.118435E+03   0.168390E+07   0.889850E+03
   321   0.335823E+04   0.130865E+02   0.118001E+03   0.167751E+07   0.881463E+03
