#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    74   0.196124E+04  -0.752669E+01   0.558296E-03  -0.752669E+01   0.378317E+00  -0.455374E-06   0.558296E-03  -0.455374E-06   0.127246E-06
    75   0.198645E+04  -0.802427E+01   0.549059E-03  -0.802427E+01   0.392409E+00  -0.647310E-06   0.549059E-03  -0.647310E-06   0.126521E-06
    76   0.201183E+04  -0.853528E+01   0.540056E-03  -0.853528E+01   0.406750E+00  -0.851193E-06   0.540056E-03  -0.851193E-06   0.125796E-06
    77   0.203743E+04  -0.905912E+01   0.531310E-03  -0.905912E+01   0.421324E+00  -0.105541E-05   0.531310E-03  -0.105541E-05   0.125070E-06
    78   0.206335E+04  -0.959653E+01   0.522844E-03  -0.959653E+01   0.436145E+00  -0.124834E-05   0.522844E-03  -0.124834E-05   0.124344E-06
    79   0.208943E+04  -0.101430E+02   0.514680E-03  -0.101430E+02   0.451145E+00  -0.141837E-05   0.514680E-03  -0.141837E-05   0.123617E-06
    80   0.211583E+04  -0.106994E+02   0.506842E-03  -0.106994E+02   0.466315E+00  -0.155388E-05   0.506842E-03  -0.155388E-05   0.122891E-06
    81   0.214248E+04  -0.112655E+02   0.499343E-03  -0.112655E+02   0.481594E+00  -0.164601E-05   0.499343E-03  -0.164601E-05   0.122166E-06
    82   0.216945E+04  -0.118404E+02   0.492164E-03  -0.118404E+02   0.496998E+00  -0.169690E-05   0.492164E-03  -0.169690E-05   0.121441E-06
    83   0.219665E+04  -0.124241E+02   0.485279E-03  -0.124241E+02   0.512496E+00  -0.171144E-05   0.485279E-03  -0.171144E-05   0.120717E-06
    84   0.222417E+04  -0.130146E+02   0.478659E-03  -0.130146E+02   0.528081E+00  -0.169453E-05   0.478659E-03  -0.169453E-05   0.119994E-06
    85   0.225186E+04  -0.136134E+02   0.472279E-03  -0.136134E+02   0.543723E+00  -0.165106E-05   0.472279E-03  -0.165106E-05   0.119273E-06
    86   0.227978E+04  -0.142194E+02   0.466109E-03  -0.142194E+02   0.559429E+00  -0.158592E-05   0.466109E-03  -0.158592E-05   0.118553E-06
    87   0.230815E+04  -0.148318E+02   0.460124E-03  -0.148318E+02   0.575162E+00  -0.150401E-05   0.460124E-03  -0.150401E-05   0.117836E-06
    88   0.233652E+04  -0.154502E+02   0.454296E-03  -0.154502E+02   0.590929E+00  -0.141022E-05   0.454296E-03  -0.141022E-05   0.117120E-06
    89   0.236527E+04  -0.160759E+02   0.448598E-03  -0.160759E+02   0.606707E+00  -0.130944E-05   0.448598E-03  -0.130944E-05   0.116408E-06
    90   0.239424E+04  -0.167059E+02   0.443002E-03  -0.167059E+02   0.622452E+00  -0.120657E-05   0.443002E-03  -0.120657E-05   0.115698E-06
    91   0.242336E+04  -0.173406E+02   0.437486E-03  -0.173406E+02   0.638150E+00  -0.110574E-05   0.437486E-03  -0.110574E-05   0.114991E-06
    92   0.245277E+04  -0.179794E+02   0.432044E-03  -0.179794E+02   0.653788E+00  -0.100803E-05   0.432044E-03  -0.100803E-05   0.114287E-06
    93   0.248248E+04  -0.186223E+02   0.426677E-03  -0.186223E+02   0.669362E+00  -0.913749E-06   0.426677E-03  -0.913749E-06   0.113587E-06
    94   0.251226E+04  -0.192680E+02   0.421383E-03  -0.192680E+02   0.684837E+00  -0.823226E-06   0.421383E-03  -0.823226E-06   0.112889E-06
    95   0.254234E+04  -0.199173E+02   0.416163E-03  -0.199173E+02   0.700217E+00  -0.736775E-06   0.416163E-03  -0.736775E-06   0.112195E-06
    96   0.257242E+04  -0.205696E+02   0.411016E-03  -0.205696E+02   0.715490E+00  -0.654714E-06   0.411016E-03  -0.654714E-06   0.111505E-06
    97   0.260294E+04  -0.212243E+02   0.405941E-03  -0.212243E+02   0.730644E+00  -0.577359E-06   0.405941E-03  -0.577359E-06   0.110818E-06
    98   0.263369E+04  -0.218792E+02   0.400938E-03  -0.218792E+02   0.745675E+00  -0.505029E-06   0.400938E-03  -0.505029E-06   0.110134E-06
    99   0.266451E+04  -0.225373E+02   0.396007E-03  -0.225373E+02   0.760549E+00  -0.438041E-06   0.396007E-03  -0.438041E-06   0.109454E-06
   100   0.269564E+04  -0.231944E+02   0.391147E-03  -0.231944E+02   0.775270E+00  -0.376713E-06   0.391147E-03  -0.376713E-06   0.108777E-06
   101   0.272691E+04  -0.238535E+02   0.386358E-03  -0.238535E+02   0.789900E+00  -0.321362E-06   0.386358E-03  -0.321362E-06   0.108105E-06
   102   0.275871E+04  -0.245125E+02   0.381639E-03  -0.245125E+02   0.804292E+00  -0.272307E-06   0.381639E-03  -0.272307E-06   0.107436E-06
   103   0.279044E+04  -0.251723E+02   0.376989E-03  -0.251723E+02   0.818526E+00  -0.229864E-06   0.376989E-03  -0.229864E-06   0.106770E-06
   104   0.282240E+04  -0.258299E+02   0.372409E-03  -0.258299E+02   0.832604E+00  -0.194352E-06   0.372409E-03  -0.194352E-06   0.106109E-06
   105   0.285451E+04  -0.264869E+02   0.367898E-03  -0.264869E+02   0.846455E+00  -0.166089E-06   0.367898E-03  -0.166089E-06   0.105451E-06
   106   0.288685E+04  -0.271428E+02   0.363455E-03  -0.271428E+02   0.860156E+00  -0.145390E-06   0.363455E-03  -0.145390E-06   0.104797E-06
   107   0.291913E+04  -0.277960E+02   0.359080E-03  -0.277960E+02   0.873562E+00  -0.132576E-06   0.359080E-03  -0.132576E-06   0.104148E-06
   108   0.295178E+04  -0.284476E+02   0.354773E-03  -0.284476E+02   0.886751E+00  -0.127962E-06   0.354773E-03  -0.127962E-06   0.103502E-06
   109   0.298459E+04  -0.290960E+02   0.350532E-03  -0.290960E+02   0.899651E+00  -0.131868E-06   0.350532E-03  -0.131868E-06   0.102861E-06
   110   0.301749E+04  -0.297400E+02   0.346359E-03  -0.297400E+02   0.912265E+00  -0.144610E-06   0.346359E-03  -0.144610E-06   0.102223E-06
   111   0.305054E+04  -0.303810E+02   0.342251E-03  -0.303810E+02   0.924671E+00  -0.166287E-06   0.342251E-03  -0.166287E-06   0.101590E-06
   112   0.308375E+04  -0.310183E+02   0.338210E-03  -0.310183E+02   0.936792E+00  -0.196129E-06   0.338210E-03  -0.196129E-06   0.100961E-06
   113   0.311719E+04  -0.316502E+02   0.334234E-03  -0.316502E+02   0.948629E+00  -0.233143E-06   0.334234E-03  -0.233143E-06   0.100337E-06
   114   0.315071E+04  -0.322761E+02   0.330324E-03  -0.322761E+02   0.960105E+00  -0.276341E-06   0.330324E-03  -0.276341E-06   0.997162E-07
   115   0.318446E+04  -0.328957E+02   0.326480E-03  -0.328957E+02   0.971367E+00  -0.324730E-06   0.326480E-03  -0.324730E-06   0.991001E-07
   116   0.321822E+04  -0.335082E+02   0.322701E-03  -0.335082E+02   0.982191E+00  -0.377320E-06   0.322701E-03  -0.377320E-06   0.984882E-07
   117   0.325227E+04  -0.341129E+02   0.318987E-03  -0.341129E+02   0.992650E+00  -0.433122E-06   0.318987E-03  -0.433122E-06   0.978806E-07
   118   0.328647E+04  -0.347104E+02   0.315339E-03  -0.347104E+02   0.100289E+01  -0.491144E-06   0.315339E-03  -0.491144E-06   0.972773E-07
   119   0.332067E+04  -0.352982E+02   0.311755E-03  -0.352982E+02   0.101277E+01  -0.550396E-06   0.311755E-03  -0.550396E-06   0.966782E-07
