#    L    TT             EE             BB             TE          
   219   0.570122E+04   0.872028E+00   0.177217E-01   0.123061E+02
   220   0.570176E+04   0.894716E+00   0.178966E-01   0.138932E+02
   221   0.570170E+04   0.918919E+00   0.180720E-01   0.154922E+02
   222   0.570104E+04   0.944785E+00   0.182479E-01   0.171015E+02
   223   0.569962E+04   0.972240E+00   0.184242E-01   0.187218E+02
   224   0.569775E+04   0.100128E+01   0.186011E-01   0.203495E+02
   225   0.569520E+04   0.103207E+01   0.187785E-01   0.219875E+02
   226   0.569205E+04   0.106459E+01   0.189562E-01   0.236321E+02
   227   0.568822E+04   0.109885E+01   0.191344E-01   0.252847E+02
   228   0.568386E+04   0.113484E+01   0.193130E-01   0.269439E+02
   229   0.567890E+04   0.117266E+01   0.194920E-01   0.286081E+02
   230   0.567326E+04   0.121228E+01   0.196713E-01   0.302781E+02
   231   0.566694E+04   0.125379E+01   0.198510E-01   0.319531E+02
   232   0.566010E+04   0.129712E+01   0.200309E-01   0.336317E+02
   233   0.565265E+04   0.134248E+01   0.202112E-01   0.353122E+02
   234   0.564445E+04   0.138973E+01   0.203918E-01   0.369955E+02
   235   0.563573E+04   0.143895E+01   0.205726E-01   0.386801E+02
   236   0.562632E+04   0.149012E+01   0.207536E-01   0.403659E+02
   237   0.561632E+04   0.154334E+01   0.209348E-01   0.420515E+02
   238   0.560571E+04   0.159866E+01   0.211162E-01   0.437368E+02
   239   0.559457E+04   0.165595E+01   0.212977E-01   0.454211E+02
   240   0.558268E+04   0.171528E+01   0.214794E-01   0.471021E+02
   241   0.557034E+04   0.177679E+01   0.216612E-01   0.487806E+02
   242   0.555740E+04   0.184034E+01   0.218431E-01   0.504558E+02
   243   0.554385E+04   0.190608E+01   0.220251E-01   0.521262E+02
   244   0.552970E+04   0.197393E+01   0.222070E-01   0.537926E+02
   245   0.551495E+04   0.204397E+01   0.223890E-01   0.554520E+02
   246   0.549968E+04   0.211619E+01   0.225710E-01   0.571058E+02
   247   0.548387E+04   0.219053E+01   0.227529E-01   0.587519E+02
   248   0.546746E+04   0.226735E+01   0.229348E-01   0.603901E+02
   249   0.545060E+04   0.234614E+01   0.231166E-01   0.620198E+02
   250   0.543314E+04   0.242733E+01   0.232983E-01   0.636394E+02
   251   0.541523E+04   0.251064E+01   0.234798E-01   0.652498E+02
   252   0.539664E+04   0.259629E+01   0.236612E-01   0.668493E+02
   253   0.537774E+04   0.268404E+01   0.238425E-01   0.684366E+02
   254   0.535824E+04   0.277420E+01   0.240235E-01   0.700115E+02
   255   0.533822E+04   0.286648E+01   0.242043E-01   0.715742E+02
   256   0.531775E+04   0.296123E+01   0.243848E-01   0.731245E+02
   257   0.529682E+04   0.305801E+01   0.245651E-01   0.746543E+02
   258   0.527537E+04   0.315720E+01   0.247451E-01   0.761763E+02
   259   0.525347E+04   0.325864E+01   0.249248E-01   0.776756E+02
   260   0.523119E+04   0.336233E+01   0.251042E-01   0.791669E+02
   261   0.520838E+04   0.346820E+01   0.252832E-01   0.806281E+02
   262   0.518505E+04   0.357647E+01   0.254618E-01   0.820814E+02
   263   0.516157E+04   0.368691E+01   0.256401E-01   0.835194E+02
   264   0.513749E+04   0.379961E+01   0.258180E-01   0.849347E+02
   265   0.511289E+04   0.391448E+01   0.259954E-01   0.863197E+02
   266   0.508798E+04   0.403174E+01   0.261724E-01   0.876969E+02
   267   0.506255E+04   0.415102E+01   0.263489E-01   0.890439E+02
   268   0.503675E+04   0.427270E+01   0.265250E-01   0.903755E+02
   269   0.501042E+04   0.439648E+01   0.267006E-01   0.916843E+02
   270   0.498387E+04   0.452242E+01   0.268756E-01   0.929704E+02
   271   0.495686E+04   0.465045E+01   0.270502E-01   0.942337E+02
   272   0.492964E+04   0.478088E+01   0.272242E-01   0.954667E+02
   273   0.490196E+04   0.491310E+01   0.273977E-01   0.966844E+02
   274   0.487399E+04   0.504771E+01   0.275706E-01   0.978645E+02
   275   0.484564E+04   0.518418E+01   0.277430E-01   0.990292E+02
   276   0.481707E+04   0.532275E+01   0.279147E-01   0.100156E+03
   277   0.478805E+04   0.546340E+01   0.280859E-01   0.101268E+03
   278   0.475880E+04   0.560607E+01   0.282565E-01   0.102342E+03
   279   0.472926E+04   0.575067E+01   0.284264E-01   0.103386E+03
   280   0.469942E+04   0.589721E+01   0.285958E-01   0.104414E+03
   281   0.466942E+04   0.604576E+01   0.287645E-01   0.105405E+03
   282   0.463899E+04   0.619603E+01   0.289325E-01   0.106365E+03
