#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.117515E+00   0.215512E+07   0.214410E+07   0.778570E+01  -0.390378E+01   0.000000E+00   0.215341E+07   0.215341E+07   0.215341E+07  -0.511828E-01   0.112897E+07   0.112885E+07   0.352228E+00
   0.122878E+00   0.206770E+07   0.205860E+07   0.683298E+01  -0.342594E+01   0.000000E+00   0.206629E+07   0.206629E+07   0.206629E+07  -0.491120E-01   0.108330E+07   0.108319E+07   0.287136E+00
   0.128241E+00   0.198213E+07   0.197440E+07   0.601435E+01  -0.301541E+01   0.000000E+00   0.198093E+07   0.198093E+07   0.198093E+07  -0.470832E-01   0.103854E+07   0.103845E+07   0.242437E+00
   0.133604E+00   0.189291E+07   0.188587E+07   0.529194E+01  -0.265320E+01   0.000000E+00   0.189182E+07   0.189182E+07   0.189182E+07  -0.449651E-01   0.991822E+06   0.991735E+06   0.217540E+00
   0.138967E+00   0.179863E+07   0.179165E+07   0.464759E+01  -0.233018E+01   0.000000E+00   0.179755E+07   0.179755E+07   0.179755E+07  -0.427245E-01   0.942401E+06   0.942314E+06   0.207911E+00
   0.144330E+00   0.170161E+07   0.169426E+07   0.407587E+01  -0.204359E+01   0.000000E+00   0.170048E+07   0.170048E+07   0.170048E+07  -0.404173E-01   0.891510E+06   0.891421E+06   0.206999E+00
   0.149694E+00   0.160617E+07   0.159829E+07   0.357613E+01  -0.179309E+01   0.000000E+00   0.160495E+07   0.160495E+07   0.160495E+07  -0.381469E-01   0.841431E+06   0.841338E+06   0.208184E+00
   0.155057E+00   0.151692E+07   0.150861E+07   0.314747E+01  -0.157821E+01   0.000000E+00   0.151563E+07   0.151563E+07   0.151563E+07  -0.360238E-01   0.794604E+06   0.794508E+06   0.206340E+00
   0.160420E+00   0.143782E+07   0.142937E+07   0.278699E+01  -0.139749E+01   0.000000E+00   0.143651E+07   0.143651E+07   0.143651E+07  -0.341433E-01   0.753123E+06   0.753028E+06   0.198707E+00
   0.165783E+00   0.137118E+07   0.136296E+07   0.248860E+01  -0.124787E+01   0.000000E+00   0.136991E+07   0.136991E+07   0.136991E+07  -0.325604E-01   0.718208E+06   0.718116E+06   0.184993E+00
   0.171146E+00   0.131670E+07   0.130903E+07   0.224237E+01  -0.112439E+01   0.000000E+00   0.131551E+07   0.131551E+07   0.131551E+07  -0.312673E-01   0.689686E+06   0.689600E+06   0.166838E+00
   0.176509E+00   0.127165E+07   0.126473E+07   0.203620E+01  -0.102098E+01   0.000000E+00   0.127058E+07   0.127058E+07   0.127058E+07  -0.301994E-01   0.666129E+06   0.666051E+06   0.146931E+00
   0.181872E+00   0.123237E+07   0.122625E+07   0.185881E+01  -0.932007E+00   0.000000E+00   0.123142E+07   0.123142E+07   0.123142E+07  -0.292687E-01   0.645600E+06   0.645530E+06   0.128092E+00
   0.187235E+00   0.119543E+07   0.119002E+07   0.170142E+01  -0.853070E+00   0.000000E+00   0.119459E+07   0.119459E+07   0.119459E+07  -0.283933E-01   0.626290E+06   0.626227E+06   0.112521E+00
   0.192598E+00   0.115809E+07   0.115318E+07   0.155784E+01  -0.781071E+00   0.000000E+00   0.115733E+07   0.115733E+07   0.115733E+07  -0.275077E-01   0.606755E+06   0.606697E+06   0.101356E+00
   0.197961E+00   0.111867E+07   0.111401E+07   0.142439E+01  -0.714162E+00   0.000000E+00   0.111795E+07   0.111795E+07   0.111795E+07  -0.265716E-01   0.586106E+06   0.586050E+06   0.945832E-01
   0.203324E+00   0.107693E+07   0.107231E+07   0.129984E+01  -0.651718E+00   0.000000E+00   0.107622E+07   0.107622E+07   0.107622E+07  -0.255798E-01   0.564230E+06   0.564174E+06   0.912667E-01
   0.208687E+00   0.103404E+07   0.102932E+07   0.118468E+01  -0.593992E+00   0.000000E+00   0.103331E+07   0.103331E+07   0.103331E+07  -0.245600E-01   0.541736E+06   0.541680E+06   0.899576E-01
   0.214050E+00   0.991822E+06   0.986944E+06   0.108001E+01  -0.541521E+00   0.000000E+00   0.991067E+06   0.991067E+06   0.991067E+06  -0.235559E-01   0.519588E+06   0.519531E+06   0.891404E-01
   0.219414E+00   0.952041E+06   0.947052E+06   0.986572E+00  -0.494680E+00   0.000000E+00   0.951269E+06   0.951269E+06   0.951269E+06  -0.226100E-01   0.498724E+06   0.498666E+06   0.876031E-01
   0.224777E+00   0.916029E+06   0.911031E+06   0.904461E+00  -0.453514E+00   0.000000E+00   0.915256E+06   0.915256E+06   0.915256E+06  -0.217540E-01   0.479843E+06   0.479786E+06   0.846603E-01
   0.230140E+00   0.884440E+06   0.879559E+06   0.833035E+00  -0.417700E+00   0.000000E+00   0.883684E+06   0.883684E+06   0.883684E+06  -0.210036E-01   0.463291E+06   0.463236E+06   0.802047E-01
   0.235503E+00   0.857136E+06   0.852487E+06   0.770981E+00  -0.386583E+00   0.000000E+00   0.856416E+06   0.856416E+06   0.856416E+06  -0.203555E-01   0.448995E+06   0.448943E+06   0.746071E-01
   0.240866E+00   0.833316E+06   0.828971E+06   0.716577E+00  -0.359299E+00   0.000000E+00   0.832644E+06   0.832644E+06   0.832644E+06  -0.197904E-01   0.436532E+06   0.436482E+06   0.685217E-01
   0.246229E+00   0.811796E+06   0.807773E+06   0.668027E+00  -0.334950E+00   0.000000E+00   0.811174E+06   0.811174E+06   0.811174E+06  -0.192802E-01   0.425275E+06   0.425229E+06   0.626604E-01
   0.251592E+00   0.791300E+06   0.787564E+06   0.623723E+00  -0.312732E+00   0.000000E+00   0.790722E+06   0.790722E+06   0.790722E+06  -0.187941E-01   0.414553E+06   0.414510E+06   0.575991E-01
   0.256955E+00   0.770747E+06   0.767228E+06   0.582444E+00  -0.292032E+00   0.000000E+00   0.770202E+06   0.770202E+06   0.770202E+06  -0.183063E-01   0.403795E+06   0.403753E+06   0.536595E-01
