#    L    TT             EE             TE             PP             TP          
   161   0.490733E+04   0.105383E+01  -0.467692E+02   0.348763E+07   0.347754E+04
   162   0.493868E+04   0.104429E+01  -0.465093E+02   0.346822E+07   0.344686E+04
   163   0.496986E+04   0.103443E+01  -0.462211E+02   0.344896E+07   0.341649E+04
   164   0.500057E+04   0.102433E+01  -0.459061E+02   0.342986E+07   0.338645E+04
   165   0.503110E+04   0.101393E+01  -0.455620E+02   0.341091E+07   0.335673E+04
   166   0.506132E+04   0.100337E+01  -0.451902E+02   0.339211E+07   0.332733E+04
   167   0.509129E+04   0.992426E+00  -0.447916E+02   0.337346E+07   0.329824E+04
   168   0.512078E+04   0.981474E+00  -0.443638E+02   0.335496E+07   0.326948E+04
   169   0.514994E+04   0.970220E+00  -0.439069E+02   0.333661E+07   0.324105E+04
   170   0.517878E+04   0.958886E+00  -0.434222E+02   0.331841E+07   0.321293E+04
   171   0.520713E+04   0.947474E+00  -0.429076E+02   0.330035E+07   0.318515E+04
   172   0.523508E+04   0.935911E+00  -0.423645E+02   0.328243E+07   0.315768E+04
   173   0.526254E+04   0.924199E+00  -0.417929E+02   0.326467E+07   0.313055E+04
   174   0.528966E+04   0.912636E+00  -0.411927E+02   0.324704E+07   0.310374E+04
   175   0.531638E+04   0.900928E+00  -0.405632E+02   0.322956E+07   0.307726E+04
   176   0.534252E+04   0.889297E+00  -0.399043E+02   0.321222E+07   0.305111E+04
   177   0.536826E+04   0.877672E+00  -0.392176E+02   0.319502E+07   0.302528E+04
   178   0.539350E+04   0.866277E+00  -0.385016E+02   0.317796E+07   0.299977E+04
   179   0.541826E+04   0.854818E+00  -0.377563E+02   0.316103E+07   0.297457E+04
   180   0.544268E+04   0.843519E+00  -0.369832E+02   0.314425E+07   0.294966E+04
   181   0.546653E+04   0.832382E+00  -0.361823E+02   0.312760E+07   0.292505E+04
   182   0.548990E+04   0.821484E+00  -0.353522E+02   0.311108E+07   0.290073E+04
   183   0.551270E+04   0.810753E+00  -0.344942E+02   0.309469E+07   0.287668E+04
   184   0.553509E+04   0.800263E+00  -0.336078E+02   0.307844E+07   0.285291E+04
   185   0.555700E+04   0.790167E+00  -0.326951E+02   0.306232E+07   0.282940E+04
   186   0.557804E+04   0.780326E+00  -0.317533E+02   0.304632E+07   0.280615E+04
   187   0.559890E+04   0.770881E+00  -0.307837E+02   0.303046E+07   0.278315E+04
   188   0.561919E+04   0.761820E+00  -0.297878E+02   0.301472E+07   0.276039E+04
   189   0.563886E+04   0.753184E+00  -0.287643E+02   0.299910E+07   0.273787E+04
   190   0.565833E+04   0.745024E+00  -0.277154E+02   0.298361E+07   0.271558E+04
   191   0.567687E+04   0.737367E+00  -0.266381E+02   0.296824E+07   0.269351E+04
   192   0.569500E+04   0.730235E+00  -0.255345E+02   0.295300E+07   0.267166E+04
   193   0.571250E+04   0.723676E+00  -0.244064E+02   0.293787E+07   0.265001E+04
   194   0.572958E+04   0.717722E+00  -0.232513E+02   0.292286E+07   0.262857E+04
   195   0.574603E+04   0.712411E+00  -0.220716E+02   0.290797E+07   0.260732E+04
   196   0.576185E+04   0.707782E+00  -0.208665E+02   0.289319E+07   0.258625E+04
   197   0.577719E+04   0.703884E+00  -0.196376E+02   0.287853E+07   0.256536E+04
   198   0.579197E+04   0.700738E+00  -0.183841E+02   0.286398E+07   0.254465E+04
   199   0.580619E+04   0.698385E+00  -0.171067E+02   0.284955E+07   0.252410E+04
   200   0.581985E+04   0.696857E+00  -0.158062E+02   0.283522E+07   0.250370E+04
   201   0.583288E+04   0.696215E+00  -0.144819E+02   0.282101E+07   0.248346E+04
   202   0.584535E+04   0.696468E+00  -0.131353E+02   0.280690E+07   0.246337E+04
   203   0.585719E+04   0.697678E+00  -0.117658E+02   0.279291E+07   0.244342E+04
   204   0.586833E+04   0.699869E+00  -0.103762E+02   0.277901E+07   0.242363E+04
   205   0.587891E+04   0.703088E+00  -0.896455E+01   0.276523E+07   0.240398E+04
   206   0.588878E+04   0.707375E+00  -0.753201E+01   0.275155E+07   0.238447E+04
   207   0.589809E+04   0.712753E+00  -0.607910E+01   0.273798E+07   0.236511E+04
   208   0.590663E+04   0.719278E+00  -0.460639E+01   0.272450E+07   0.234590E+04
