#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    82   0.224914E+04  -0.122492E+02   0.479721E-03  -0.122492E+02   0.515633E+00  -0.111078E-05   0.479721E-03  -0.111078E-05   0.121775E-06
    83   0.227733E+04  -0.128521E+02   0.472941E-03  -0.128521E+02   0.531749E+00  -0.114346E-05   0.472941E-03  -0.114346E-05   0.121052E-06
    84   0.230583E+04  -0.134620E+02   0.466374E-03  -0.134620E+02   0.547959E+00  -0.116343E-05   0.466374E-03  -0.116343E-05   0.120330E-06
    85   0.233451E+04  -0.140803E+02   0.460007E-03  -0.140803E+02   0.564233E+00  -0.117206E-05   0.460007E-03  -0.117206E-05   0.119610E-06
    86   0.236343E+04  -0.147059E+02   0.453823E-03  -0.147059E+02   0.580574E+00  -0.117076E-05   0.453823E-03  -0.117076E-05   0.118891E-06
    87   0.239280E+04  -0.153381E+02   0.447809E-03  -0.153381E+02   0.596945E+00  -0.116091E-05   0.447809E-03  -0.116091E-05   0.118174E-06
    88   0.242219E+04  -0.159767E+02   0.441949E-03  -0.159767E+02   0.613350E+00  -0.114391E-05   0.441949E-03  -0.114391E-05   0.117460E-06
    89   0.245196E+04  -0.166231E+02   0.436228E-03  -0.166231E+02   0.629767E+00  -0.112114E-05   0.436228E-03  -0.112114E-05   0.116748E-06
    90   0.248195E+04  -0.172742E+02   0.430632E-03  -0.172742E+02   0.646147E+00  -0.109401E-05   0.430632E-03  -0.109401E-05   0.116039E-06
    91   0.251209E+04  -0.179305E+02   0.425148E-03  -0.179305E+02   0.662478E+00  -0.106373E-05   0.425148E-03  -0.106373E-05   0.115333E-06
    92   0.254253E+04  -0.185914E+02   0.419771E-03  -0.185914E+02   0.678744E+00  -0.103087E-05   0.419771E-03  -0.103087E-05   0.114630E-06
    93   0.257327E+04  -0.192570E+02   0.414498E-03  -0.192570E+02   0.694941E+00  -0.995842E-06   0.414498E-03  -0.995842E-06   0.113930E-06
    94   0.260409E+04  -0.199257E+02   0.409328E-03  -0.199257E+02   0.711035E+00  -0.959037E-06   0.409328E-03  -0.959037E-06   0.113234E-06
    95   0.263521E+04  -0.205985E+02   0.404257E-03  -0.205985E+02   0.727029E+00  -0.920861E-06   0.404257E-03  -0.920861E-06   0.112540E-06
    96   0.266633E+04  -0.212747E+02   0.399283E-03  -0.212747E+02   0.742911E+00  -0.881715E-06   0.399283E-03  -0.881715E-06   0.111851E-06
    97   0.269791E+04  -0.219535E+02   0.394405E-03  -0.219535E+02   0.758669E+00  -0.842001E-06   0.394405E-03  -0.842001E-06   0.111164E-06
    98   0.272972E+04  -0.226328E+02   0.389618E-03  -0.226328E+02   0.774299E+00  -0.802120E-06   0.389618E-03  -0.802120E-06   0.110481E-06
    99   0.276160E+04  -0.233157E+02   0.384920E-03  -0.233157E+02   0.789766E+00  -0.762474E-06   0.384920E-03  -0.762474E-06   0.109802E-06
   100   0.279380E+04  -0.239977E+02   0.380310E-03  -0.239977E+02   0.805073E+00  -0.723465E-06   0.380310E-03  -0.723465E-06   0.109126E-06
   101   0.282615E+04  -0.246818E+02   0.375784E-03  -0.246818E+02   0.820283E+00  -0.685496E-06   0.375784E-03  -0.685496E-06   0.108454E-06
   102   0.285904E+04  -0.253660E+02   0.371341E-03  -0.253660E+02   0.835251E+00  -0.648966E-06   0.371341E-03  -0.648966E-06   0.107786E-06
   103   0.289186E+04  -0.260510E+02   0.366977E-03  -0.260510E+02   0.850052E+00  -0.614279E-06   0.366977E-03  -0.614279E-06   0.107121E-06
   104   0.292492E+04  -0.267339E+02   0.362690E-03  -0.267339E+02   0.864691E+00  -0.581836E-06   0.362690E-03  -0.581836E-06   0.106460E-06
   105   0.295815E+04  -0.274162E+02   0.358477E-03  -0.274162E+02   0.879095E+00  -0.552039E-06   0.358477E-03  -0.552039E-06   0.105803E-06
   106   0.299161E+04  -0.280973E+02   0.354337E-03  -0.280973E+02   0.893343E+00  -0.525289E-06   0.354337E-03  -0.525289E-06   0.105150E-06
   107   0.302501E+04  -0.287758E+02   0.350265E-03  -0.287758E+02   0.907288E+00  -0.501988E-06   0.350265E-03  -0.501988E-06   0.104501E-06
   108   0.305880E+04  -0.294524E+02   0.346261E-03  -0.294524E+02   0.921008E+00  -0.482538E-06   0.346261E-03  -0.482538E-06   0.103856E-06
   109   0.309276E+04  -0.301257E+02   0.342322E-03  -0.301257E+02   0.934431E+00  -0.467341E-06   0.342322E-03  -0.467341E-06   0.103216E-06
   110   0.312682E+04  -0.307943E+02   0.338444E-03  -0.307943E+02   0.947561E+00  -0.456799E-06   0.338444E-03  -0.456799E-06   0.102579E-06
   111   0.316104E+04  -0.314598E+02   0.334626E-03  -0.314598E+02   0.960473E+00  -0.451173E-06   0.334626E-03  -0.451173E-06   0.101947E-06
   112   0.319543E+04  -0.321213E+02   0.330867E-03  -0.321213E+02   0.973092E+00  -0.450168E-06   0.330867E-03  -0.450168E-06   0.101318E-06
   113   0.323006E+04  -0.327772E+02   0.327167E-03  -0.327772E+02   0.985417E+00  -0.453348E-06   0.327167E-03  -0.453348E-06   0.100694E-06
