#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.128296E+00   0.196827E+07   0.196088E+07   0.405283E+01  -0.299191E+01   0.000000E+00   0.196713E+07   0.196713E+07   0.196713E+07  -0.467550E-01   0.103131E+07   0.103129E+07   0.473006E-01
   0.133658E+00   0.187943E+07   0.187269E+07   0.356571E+01  -0.263229E+01   0.000000E+00   0.187839E+07   0.187839E+07   0.187839E+07  -0.446459E-01   0.984784E+06   0.984767E+06   0.426355E-01
   0.139021E+00   0.178562E+07   0.177895E+07   0.313133E+01  -0.231165E+01   0.000000E+00   0.178459E+07   0.178459E+07   0.178459E+07  -0.424165E-01   0.935609E+06   0.935592E+06   0.403923E-01
   0.144383E+00   0.168915E+07   0.168213E+07   0.274601E+01  -0.202723E+01   0.000000E+00   0.168807E+07   0.168807E+07   0.168807E+07  -0.401223E-01   0.885005E+06   0.884988E+06   0.395499E-01
   0.149746E+00   0.159429E+07   0.158677E+07   0.240925E+01  -0.177867E+01   0.000000E+00   0.159312E+07   0.159312E+07   0.159312E+07  -0.378657E-01   0.835231E+06   0.835213E+06   0.390866E-01
   0.155108E+00   0.150562E+07   0.149770E+07   0.212045E+01  -0.156550E+01   0.000000E+00   0.150440E+07   0.150440E+07   0.150440E+07  -0.357568E-01   0.788715E+06   0.788697E+06   0.382149E-01
   0.160471E+00   0.142712E+07   0.141907E+07   0.187769E+01  -0.138629E+01   0.000000E+00   0.142588E+07   0.142588E+07   0.142588E+07  -0.338905E-01   0.747550E+06   0.747532E+06   0.365138E-01
   0.165833E+00   0.136105E+07   0.135322E+07   0.167679E+01  -0.123797E+01   0.000000E+00   0.135984E+07   0.135984E+07   0.135984E+07  -0.323210E-01   0.712930E+06   0.712913E+06   0.339410E-01
   0.171196E+00   0.130704E+07   0.129972E+07   0.151099E+01  -0.111555E+01   0.000000E+00   0.130590E+07   0.130590E+07   0.130590E+07  -0.310390E-01   0.684651E+06   0.684635E+06   0.307456E-01
   0.176558E+00   0.126236E+07   0.125576E+07   0.137213E+01  -0.101301E+01   0.000000E+00   0.126134E+07   0.126134E+07   0.126134E+07  -0.299797E-01   0.661285E+06   0.661271E+06   0.273333E-01
   0.181921E+00   0.122340E+07   0.121756E+07   0.125264E+01  -0.924777E+00   0.000000E+00   0.122250E+07   0.122250E+07   0.122250E+07  -0.290566E-01   0.640923E+06   0.640910E+06   0.241280E-01
   0.187283E+00   0.118677E+07   0.118159E+07   0.114662E+01  -0.846492E+00   0.000000E+00   0.118597E+07   0.118597E+07   0.118597E+07  -0.281883E-01   0.621769E+06   0.621757E+06   0.214589E-01
   0.192646E+00   0.114970E+07   0.114500E+07   0.104988E+01  -0.775064E+00   0.000000E+00   0.114898E+07   0.114898E+07   0.114898E+07  -0.273091E-01   0.602376E+06   0.602365E+06   0.194920E-01
   0.198008E+00   0.111054E+07   0.110608E+07   0.959943E+00  -0.708666E+00   0.000000E+00   0.110985E+07   0.110985E+07   0.110985E+07  -0.263791E-01   0.581861E+06   0.581851E+06   0.182177E-01
   0.203371E+00   0.106908E+07   0.106467E+07   0.875999E+00  -0.646700E+00   0.000000E+00   0.106840E+07   0.106840E+07   0.106840E+07  -0.253939E-01   0.560131E+06   0.560121E+06   0.174877E-01
   0.208733E+00   0.102650E+07   0.102199E+07   0.798410E+00  -0.589428E+00   0.000000E+00   0.102580E+07   0.102580E+07   0.102580E+07  -0.243815E-01   0.537800E+06   0.537790E+06   0.170781E-01
   0.214096E+00   0.984593E+06   0.979938E+06   0.727888E+00  -0.537374E+00   0.000000E+00   0.983873E+06   0.983873E+06   0.983873E+06  -0.233849E-01   0.515818E+06   0.515807E+06   0.167563E-01
   0.219458E+00   0.945112E+06   0.940352E+06   0.664937E+00  -0.490906E+00   0.000000E+00   0.944376E+06   0.944376E+06   0.944376E+06  -0.224461E-01   0.495111E+06   0.495100E+06   0.163368E-01
   0.224821E+00   0.909388E+06   0.904620E+06   0.609624E+00  -0.450073E+00   0.000000E+00   0.908650E+06   0.908650E+06   0.908650E+06  -0.215970E-01   0.476381E+06   0.476371E+06   0.157156E-01
   0.230183E+00   0.878070E+06   0.873414E+06   0.561517E+00  -0.414557E+00   0.000000E+00   0.877349E+06   0.877349E+06   0.877349E+06  -0.208530E-01   0.459971E+06   0.459961E+06   0.148767E-01
   0.235546E+00   0.851010E+06   0.846573E+06   0.519723E+00  -0.383700E+00   0.000000E+00   0.850323E+06   0.850323E+06   0.850323E+06  -0.202107E-01   0.445802E+06   0.445792E+06   0.138770E-01
   0.240908E+00   0.827404E+06   0.823257E+06   0.483079E+00  -0.356643E+00   0.000000E+00   0.826763E+06   0.826763E+06   0.826763E+06  -0.196507E-01   0.433449E+06   0.433440E+06   0.128158E-01
   0.246271E+00   0.806079E+06   0.802237E+06   0.450375E+00  -0.332495E+00   0.000000E+00   0.805485E+06   0.805485E+06   0.805485E+06  -0.191449E-01   0.422294E+06   0.422285E+06   0.118007E-01
   0.251633E+00   0.785761E+06   0.782191E+06   0.420527E+00  -0.310455E+00   0.000000E+00   0.785208E+06   0.785208E+06   0.785208E+06  -0.186630E-01   0.411663E+06   0.411655E+06   0.109180E-01
   0.256996E+00   0.765368E+06   0.762006E+06   0.392707E+00  -0.289916E+00   0.000000E+00   0.764848E+06   0.764848E+06   0.764848E+06  -0.181791E-01   0.400988E+06   0.400981E+06   0.102146E-01
   0.262358E+00   0.744314E+06   0.741079E+06   0.366455E+00  -0.270535E+00   0.000000E+00   0.743813E+06   0.743813E+06   0.743813E+06  -0.176791E-01   0.389960E+06   0.389953E+06   0.969469E-02
   0.267721E+00   0.722604E+06   0.719423E+06   0.341653E+00  -0.252226E+00   0.000000E+00   0.722112E+06   0.722112E+06   0.722112E+06  -0.171633E-01   0.378583E+06   0.378576E+06   0.932601E-02
   0.273083E+00   0.700654E+06   0.697476E+06   0.318385E+00  -0.235050E+00   0.000000E+00   0.700163E+06   0.700163E+06   0.700163E+06  -0.166416E-01   0.367076E+06   0.367068E+06   0.905402E-02
   0.278446E+00   0.679030E+06   0.675836E+06   0.296780E+00  -0.219101E+00   0.000000E+00   0.678536E+06   0.678536E+06   0.678536E+06  -0.161276E-01   0.355738E+06   0.355730E+06   0.881835E-02
   0.283808E+00   0.658313E+06   0.655111E+06   0.276947E+00  -0.204461E+00   0.000000E+00   0.657818E+06   0.657818E+06   0.657818E+06  -0.156351E-01   0.344876E+06   0.344869E+06   0.856841E-02
   0.289171E+00   0.639016E+06   0.635837E+06   0.258946E+00  -0.191172E+00   0.000000E+00   0.638524E+06   0.638524E+06   0.638524E+06  -0.151766E-01   0.334761E+06   0.334754E+06   0.827353E-02
   0.294533E+00   0.621444E+06   0.618328E+06   0.242737E+00  -0.179206E+00   0.000000E+00   0.620962E+06   0.620962E+06   0.620962E+06  -0.147591E-01   0.325553E+06   0.325546E+06   0.792587E-02
   0.299895E+00   0.605575E+06   0.602560E+06   0.228157E+00  -0.168441E+00   0.000000E+00   0.605108E+06   0.605108E+06   0.605108E+06  -0.143823E-01   0.317242E+06   0.317235E+06   0.753695E-02
   0.305258E+00   0.591113E+06   0.588224E+06   0.214955E+00  -0.158694E+00   0.000000E+00   0.590666E+06   0.590666E+06   0.590666E+06  -0.140391E-01   0.309670E+06   0.309663E+06   0.713085E-02
   0.310620E+00   0.577641E+06   0.574885E+06   0.202870E+00  -0.149772E+00   0.000000E+00   0.577214E+06   0.577214E+06   0.577214E+06  -0.137193E-01   0.302618E+06   0.302611E+06   0.673584E-02
   0.315983E+00   0.564743E+06   0.562112E+06   0.191669E+00  -0.141502E+00   0.000000E+00   0.564336E+06   0.564336E+06   0.564336E+06  -0.134132E-01   0.295866E+06   0.295860E+06   0.637636E-02
   0.321345E+00   0.552056E+06   0.549529E+06   0.181165E+00  -0.133746E+00   0.000000E+00   0.551666E+06   0.551666E+06   0.551666E+06  -0.131121E-01   0.289223E+06   0.289217E+06   0.606740E-02
   0.326708E+00   0.539335E+06   0.536883E+06   0.171229E+00  -0.126411E+00   0.000000E+00   0.538955E+06   0.538955E+06   0.538955E+06  -0.128100E-01   0.282559E+06   0.282554E+06   0.581234E-02
   0.332070E+00   0.526510E+06   0.524107E+06   0.161801E+00  -0.119451E+00   0.000000E+00   0.526138E+06   0.526138E+06   0.526138E+06  -0.125054E-01   0.275840E+06   0.275834E+06   0.560441E-02
   0.337433E+00   0.513690E+06   0.511317E+06   0.152883E+00  -0.112867E+00   0.000000E+00   0.513323E+06   0.513323E+06   0.513323E+06  -0.122008E-01   0.269121E+06   0.269116E+06   0.543003E-02
   0.342795E+00   0.501079E+06   0.498725E+06   0.144498E+00  -0.106677E+00   0.000000E+00   0.500715E+06   0.500715E+06   0.500715E+06  -0.119011E-01   0.262511E+06   0.262506E+06   0.527309E-02
   0.348158E+00   0.488885E+06   0.486551E+06   0.136670E+00  -0.100899E+00   0.000000E+00   0.488524E+06   0.488524E+06   0.488524E+06  -0.116113E-01   0.256120E+06   0.256114E+06   0.511896E-02
   0.353520E+00   0.477279E+06   0.474974E+06   0.129408E+00  -0.955371E-01   0.000000E+00   0.476922E+06   0.476922E+06   0.476922E+06  -0.113356E-01   0.250037E+06   0.250032E+06   0.495766E-02
   0.358883E+00   0.466368E+06   0.464103E+06   0.122698E+00  -0.905837E-01   0.000000E+00   0.466017E+06   0.466017E+06   0.466017E+06  -0.110764E-01   0.244320E+06   0.244315E+06   0.478527E-02
   0.364245E+00   0.456166E+06   0.453955E+06   0.116506E+00  -0.860127E-01   0.000000E+00   0.455824E+06   0.455824E+06   0.455824E+06  -0.108341E-01   0.238976E+06   0.238971E+06   0.460347E-02
   0.369608E+00   0.446596E+06   0.444446E+06   0.110777E+00  -0.817828E-01   0.000000E+00   0.446263E+06   0.446263E+06   0.446263E+06  -0.106069E-01   0.233964E+06   0.233959E+06   0.441789E-02
   0.374970E+00   0.437521E+06   0.435437E+06   0.105445E+00  -0.778462E-01   0.000000E+00   0.437199E+06   0.437199E+06   0.437199E+06  -0.103914E-01   0.229211E+06   0.229206E+06   0.423589E-02
   0.380333E+00   0.428796E+06   0.426776E+06   0.100450E+00  -0.741581E-01   0.000000E+00   0.428484E+06   0.428484E+06   0.428484E+06  -0.101843E-01   0.224642E+06   0.224638E+06   0.406446E-02
   0.385695E+00   0.420294E+06   0.418331E+06   0.957398E-01  -0.706809E-01   0.000000E+00   0.419990E+06   0.419990E+06   0.419990E+06  -0.998242E-02   0.220189E+06   0.220185E+06   0.390848E-02
   0.391058E+00   0.411916E+06   0.410001E+06   0.912760E-01  -0.673853E-01   0.000000E+00   0.411620E+06   0.411620E+06   0.411620E+06  -0.978347E-02   0.215801E+06   0.215796E+06   0.376975E-02
