#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   151   0.439623E+04  -0.459970E+02   0.226307E-03  -0.459970E+02   0.108478E+01  -0.460932E-07   0.226307E-03  -0.460932E-07   0.798962E-07
   152   0.442867E+04  -0.460052E+02   0.224270E-03  -0.460052E+02   0.107922E+01  -0.170690E-07   0.224270E-03  -0.170690E-07   0.794326E-07
   153   0.446098E+04  -0.459871E+02   0.222247E-03  -0.459871E+02   0.107328E+01   0.584923E-08   0.222247E-03   0.584923E-08   0.789727E-07
   154   0.449307E+04  -0.459449E+02   0.220239E-03  -0.459449E+02   0.106695E+01   0.230593E-07   0.220239E-03   0.230593E-07   0.785165E-07
   155   0.452494E+04  -0.458778E+02   0.218245E-03  -0.458778E+02   0.106024E+01   0.349589E-07   0.218245E-03   0.349589E-07   0.780640E-07
   156   0.455645E+04  -0.457859E+02   0.216267E-03  -0.457859E+02   0.105314E+01   0.419461E-07   0.216267E-03   0.419461E-07   0.776152E-07
   157   0.458788E+04  -0.456676E+02   0.214304E-03  -0.456676E+02   0.104567E+01   0.444186E-07   0.214304E-03   0.444186E-07   0.771699E-07
   158   0.461901E+04  -0.455237E+02   0.212357E-03  -0.455237E+02   0.103789E+01   0.427742E-07   0.212357E-03   0.427742E-07   0.767283E-07
   159   0.464985E+04  -0.453541E+02   0.210426E-03  -0.453541E+02   0.102966E+01   0.374107E-07   0.210426E-03   0.374107E-07   0.762903E-07
   160   0.468046E+04  -0.451574E+02   0.208512E-03  -0.451574E+02   0.102112E+01   0.287261E-07   0.208512E-03   0.287261E-07   0.758558E-07
   161   0.471085E+04  -0.449350E+02   0.206615E-03  -0.449350E+02   0.101235E+01   0.171181E-07   0.206615E-03   0.171181E-07   0.754249E-07
   162   0.474093E+04  -0.446869E+02   0.204735E-03  -0.446869E+02   0.100320E+01   0.298458E-08   0.204735E-03   0.298458E-08   0.749975E-07
   163   0.477086E+04  -0.444117E+02   0.202873E-03  -0.444117E+02   0.993755E+00  -0.132767E-07   0.202873E-03  -0.132767E-07   0.745735E-07
   164   0.480034E+04  -0.441107E+02   0.201029E-03  -0.441107E+02   0.984079E+00  -0.312678E-07   0.201029E-03  -0.312678E-07   0.741531E-07
   165   0.482966E+04  -0.437817E+02   0.199204E-03  -0.437817E+02   0.974101E+00  -0.505909E-07   0.199204E-03  -0.505909E-07   0.737360E-07
   166   0.485866E+04  -0.434262E+02   0.197398E-03  -0.434262E+02   0.963971E+00  -0.708483E-07   0.197398E-03  -0.708483E-07   0.733224E-07
   167   0.488744E+04  -0.430450E+02   0.195610E-03  -0.430450E+02   0.953466E+00  -0.916420E-07   0.195610E-03  -0.916420E-07   0.729122E-07
   168   0.491575E+04  -0.426358E+02   0.193842E-03  -0.426358E+02   0.942960E+00  -0.112574E-06   0.193842E-03  -0.112574E-06   0.725053E-07
   169   0.494375E+04  -0.421985E+02   0.192095E-03  -0.421985E+02   0.932154E+00  -0.133247E-06   0.192095E-03  -0.133247E-06   0.721018E-07
   170   0.497144E+04  -0.417347E+02   0.190367E-03  -0.417347E+02   0.921273E+00  -0.153263E-06   0.190367E-03  -0.153263E-06   0.717016E-07
   171   0.499866E+04  -0.412421E+02   0.188661E-03  -0.412421E+02   0.910318E+00  -0.172224E-06   0.188661E-03  -0.172224E-06   0.713048E-07
   172   0.502550E+04  -0.407222E+02   0.186975E-03  -0.407222E+02   0.899214E+00  -0.189732E-06   0.186975E-03  -0.189732E-06   0.709112E-07
   173   0.505186E+04  -0.401749E+02   0.185311E-03  -0.401749E+02   0.887963E+00  -0.205390E-06   0.185311E-03  -0.205390E-06   0.705208E-07
   174   0.507791E+04  -0.396002E+02   0.183668E-03  -0.396002E+02   0.876862E+00  -0.218799E-06   0.183668E-03  -0.218799E-06   0.701337E-07
   175   0.510356E+04  -0.389975E+02   0.182048E-03  -0.389975E+02   0.865615E+00  -0.229562E-06   0.182048E-03  -0.229562E-06   0.697497E-07
   176   0.512867E+04  -0.383666E+02   0.180450E-03  -0.383666E+02   0.854445E+00  -0.237372E-06   0.180450E-03  -0.237372E-06   0.693690E-07
   177   0.515337E+04  -0.377091E+02   0.178874E-03  -0.377091E+02   0.843278E+00  -0.242292E-06   0.178874E-03  -0.242292E-06   0.689914E-07
