#    L    TT             EE             TE             PP             TP          
   211   0.569224E+04   0.714732E+00  -0.182418E+00   0.267095E+07   0.228689E+04
   212   0.569791E+04   0.725594E+00   0.130023E+01   0.265788E+07   0.226794E+04
   213   0.570305E+04   0.737733E+00   0.279964E+01   0.264490E+07   0.224912E+04
   214   0.570750E+04   0.751144E+00   0.431459E+01   0.263202E+07   0.223045E+04
   215   0.571136E+04   0.766020E+00   0.584433E+01   0.261924E+07   0.221192E+04
   216   0.571453E+04   0.782176E+00   0.738936E+01   0.260655E+07   0.219352E+04
   217   0.571717E+04   0.799768E+00   0.894767E+01   0.259396E+07   0.217526E+04
   218   0.571913E+04   0.818799E+00   0.105195E+02   0.258147E+07   0.215714E+04
   219   0.572049E+04   0.839268E+00   0.121057E+02   0.256907E+07   0.213915E+04
   220   0.572123E+04   0.861324E+00   0.137019E+02   0.255677E+07   0.212130E+04
   221   0.572137E+04   0.884895E+00   0.153103E+02   0.254455E+07   0.210359E+04
   222   0.572091E+04   0.910129E+00   0.169293E+02   0.253243E+07   0.208600E+04
   223   0.571969E+04   0.936953E+00   0.185598E+02   0.252040E+07   0.206855E+04
   224   0.571801E+04   0.965368E+00   0.201980E+02   0.250846E+07   0.205124E+04
   225   0.571565E+04   0.995523E+00   0.218468E+02   0.249661E+07   0.203405E+04
   226   0.571269E+04   0.102742E+01   0.235025E+02   0.248485E+07   0.201700E+04
   227   0.570904E+04   0.106106E+01   0.251666E+02   0.247318E+07   0.200008E+04
   228   0.570487E+04   0.109644E+01   0.268376E+02   0.246159E+07   0.198329E+04
   229   0.570008E+04   0.113363E+01   0.285140E+02   0.245009E+07   0.196663E+04
   230   0.569462E+04   0.117265E+01   0.301965E+02   0.243867E+07   0.195010E+04
   231   0.568847E+04   0.121356E+01   0.318844E+02   0.242734E+07   0.193370E+04
   232   0.568179E+04   0.125629E+01   0.335761E+02   0.241609E+07   0.191742E+04
   233   0.567450E+04   0.130106E+01   0.352702E+02   0.240492E+07   0.190127E+04
   234   0.566646E+04   0.134772E+01   0.369674E+02   0.239384E+07   0.188525E+04
   235   0.565788E+04   0.139636E+01   0.386662E+02   0.238283E+07   0.186936E+04
   236   0.564863E+04   0.144697E+01   0.403665E+02   0.237191E+07   0.185359E+04
   237   0.563876E+04   0.149962E+01   0.420670E+02   0.236106E+07   0.183795E+04
   238   0.562829E+04   0.155440E+01   0.437675E+02   0.235029E+07   0.182243E+04
   239   0.561729E+04   0.161115E+01   0.454673E+02   0.233960E+07   0.180703E+04
   240   0.560553E+04   0.166995E+01   0.471642E+02   0.232899E+07   0.179176E+04
   241   0.559331E+04   0.173095E+01   0.488589E+02   0.231845E+07   0.177661E+04
   242   0.558048E+04   0.179399E+01   0.505507E+02   0.230798E+07   0.176158E+04
   243   0.556705E+04   0.185924E+01   0.522380E+02   0.229759E+07   0.174668E+04
   244   0.555301E+04   0.192661E+01   0.539216E+02   0.228727E+07   0.173189E+04
   245   0.553836E+04   0.199618E+01   0.555984E+02   0.227702E+07   0.171723E+04
   246   0.552317E+04   0.206796E+01   0.572700E+02   0.226685E+07   0.170268E+04
   247   0.550746E+04   0.214186E+01   0.589342E+02   0.225674E+07   0.168825E+04
   248   0.549113E+04   0.221826E+01   0.605908E+02   0.224671E+07   0.167394E+04
   249   0.547435E+04   0.229665E+01   0.622392E+02   0.223674E+07   0.165975E+04
   250   0.545696E+04   0.237746E+01   0.638779E+02   0.222684E+07   0.164568E+04
   251   0.543910E+04   0.246040E+01   0.655075E+02   0.221700E+07   0.163172E+04
   252   0.542057E+04   0.254570E+01   0.671266E+02   0.220723E+07   0.161788E+04
   253   0.540173E+04   0.263312E+01   0.687337E+02   0.219753E+07   0.160415E+04
   254   0.538227E+04   0.272298E+01   0.703288E+02   0.218789E+07   0.159054E+04
   255   0.536229E+04   0.281496E+01   0.719118E+02   0.217832E+07   0.157703E+04
   256   0.534185E+04   0.290945E+01   0.734828E+02   0.216881E+07   0.156364E+04
   257   0.532095E+04   0.300599E+01   0.750335E+02   0.215937E+07   0.155036E+04
   258   0.529951E+04   0.310496E+01   0.765766E+02   0.214999E+07   0.153719E+04
   259   0.527762E+04   0.320621E+01   0.780972E+02   0.214067E+07   0.152412E+04
   260   0.525534E+04   0.330973E+01   0.796101E+02   0.213141E+07   0.151116E+04
   261   0.523253E+04   0.341546E+01   0.810931E+02   0.212222E+07   0.149830E+04
   262   0.520919E+04   0.352361E+01   0.825684E+02   0.211308E+07   0.148555E+04
