#    L    TT             EE             BB             TE             PP             TP             EP          
   116   0.333809E+04   0.102128E+01   0.000000E+00  -0.347376E+02   0.985998E-07   0.315832E-03  -0.483746E-06
   117   0.337344E+04   0.103221E+01   0.000000E+00  -0.353661E+02   0.979917E-07   0.312364E-03  -0.499337E-06
   118   0.340894E+04   0.104291E+01   0.000000E+00  -0.359871E+02   0.973879E-07   0.308954E-03  -0.516932E-06
   119   0.344446E+04   0.105323E+01   0.000000E+00  -0.365982E+02   0.967884E-07   0.305600E-03  -0.536094E-06
   120   0.348015E+04   0.106302E+01   0.000000E+00  -0.371994E+02   0.961931E-07   0.302301E-03  -0.556387E-06
   121   0.351584E+04   0.107257E+01   0.000000E+00  -0.377906E+02   0.956022E-07   0.299058E-03  -0.577377E-06
   122   0.355162E+04   0.108158E+01   0.000000E+00  -0.383709E+02   0.950155E-07   0.295871E-03  -0.598628E-06
   123   0.358749E+04   0.109014E+01   0.000000E+00  -0.389402E+02   0.944331E-07   0.292738E-03  -0.619704E-06
   124   0.362343E+04   0.109830E+01   0.000000E+00  -0.394954E+02   0.938550E-07   0.289659E-03  -0.640170E-06
   125   0.365939E+04   0.110600E+01   0.000000E+00  -0.400388E+02   0.932812E-07   0.286635E-03  -0.659592E-06
   126   0.369543E+04   0.111330E+01   0.000000E+00  -0.405694E+02   0.927117E-07   0.283664E-03  -0.677535E-06
   127   0.373147E+04   0.112005E+01   0.000000E+00  -0.410864E+02   0.921466E-07   0.280746E-03  -0.693563E-06
   128   0.376752E+04   0.112641E+01   0.000000E+00  -0.415890E+02   0.915858E-07   0.277881E-03  -0.707244E-06
   129   0.380365E+04   0.113222E+01   0.000000E+00  -0.420763E+02   0.910292E-07   0.275068E-03  -0.718142E-06
   130   0.383979E+04   0.113747E+01   0.000000E+00  -0.425476E+02   0.904771E-07   0.272307E-03  -0.725823E-06
   131   0.387592E+04   0.114232E+01   0.000000E+00  -0.430041E+02   0.899292E-07   0.269598E-03  -0.729971E-06
   132   0.391214E+04   0.114662E+01   0.000000E+00  -0.434429E+02   0.893857E-07   0.266939E-03  -0.730742E-06
   133   0.394828E+04   0.115044E+01   0.000000E+00  -0.438663E+02   0.888464E-07   0.264328E-03  -0.728409E-06
   134   0.398442E+04   0.115378E+01   0.000000E+00  -0.442698E+02   0.883114E-07   0.261764E-03  -0.723247E-06
   135   0.402057E+04   0.115657E+01   0.000000E+00  -0.446563E+02   0.877806E-07   0.259245E-03  -0.715528E-06
   136   0.405657E+04   0.115880E+01   0.000000E+00  -0.450222E+02   0.872540E-07   0.256769E-03  -0.705526E-06
   137   0.409258E+04   0.116056E+01   0.000000E+00  -0.453697E+02   0.867316E-07   0.254335E-03  -0.693515E-06
   138   0.412851E+04   0.116176E+01   0.000000E+00  -0.456973E+02   0.862133E-07   0.251940E-03  -0.679766E-06
   139   0.416423E+04   0.116255E+01   0.000000E+00  -0.460043E+02   0.856991E-07   0.249585E-03  -0.664554E-06
   140   0.420002E+04   0.116272E+01   0.000000E+00  -0.462914E+02   0.851890E-07   0.247265E-03  -0.648151E-06
   141   0.423559E+04   0.116233E+01   0.000000E+00  -0.465564E+02   0.846829E-07   0.244981E-03  -0.630829E-06
   142   0.427116E+04   0.116147E+01   0.000000E+00  -0.468000E+02   0.841808E-07   0.242731E-03  -0.612863E-06
   143   0.430667E+04   0.116013E+01   0.000000E+00  -0.470223E+02   0.836827E-07   0.240512E-03  -0.594524E-06
   144   0.434195E+04   0.115823E+01   0.000000E+00  -0.472225E+02   0.831886E-07   0.238323E-03  -0.576085E-06
   145   0.437708E+04   0.115593E+01   0.000000E+00  -0.473999E+02   0.826984E-07   0.236162E-03  -0.557818E-06
   146   0.441230E+04   0.115300E+01   0.000000E+00  -0.475545E+02   0.822121E-07   0.234029E-03  -0.539997E-06
   147   0.444714E+04   0.114967E+01   0.000000E+00  -0.476847E+02   0.817297E-07   0.231920E-03  -0.522892E-06
   148   0.448184E+04   0.114578E+01   0.000000E+00  -0.477921E+02   0.812512E-07   0.229835E-03  -0.506778E-06
   149   0.451647E+04   0.114141E+01   0.000000E+00  -0.478753E+02   0.807764E-07   0.227772E-03  -0.491925E-06
   150   0.455080E+04   0.113664E+01   0.000000E+00  -0.479319E+02   0.803055E-07   0.225729E-03  -0.478606E-06
   151   0.458499E+04   0.113139E+01   0.000000E+00  -0.479649E+02   0.798383E-07   0.223704E-03  -0.467028E-06
   152   0.461888E+04   0.112559E+01   0.000000E+00  -0.479729E+02   0.793749E-07   0.221699E-03  -0.457142E-06
   153   0.465262E+04   0.111938E+01   0.000000E+00  -0.479536E+02   0.789152E-07   0.219712E-03  -0.448833E-06
   154   0.468613E+04   0.111278E+01   0.000000E+00  -0.479092E+02   0.784592E-07   0.217743E-03  -0.441987E-06
   155   0.471942E+04   0.110577E+01   0.000000E+00  -0.478389E+02   0.780069E-07   0.215794E-03  -0.436489E-06
   156   0.475233E+04   0.109837E+01   0.000000E+00  -0.477427E+02   0.775582E-07   0.213863E-03  -0.432224E-06
   157   0.478516E+04   0.109057E+01   0.000000E+00  -0.476191E+02   0.771131E-07   0.211951E-03  -0.429078E-06
   158   0.481768E+04   0.108245E+01   0.000000E+00  -0.474688E+02   0.766716E-07   0.210057E-03  -0.426938E-06
   159   0.484989E+04   0.107387E+01   0.000000E+00  -0.472918E+02   0.762338E-07   0.208183E-03  -0.425688E-06
   160   0.488186E+04   0.106496E+01   0.000000E+00  -0.470866E+02   0.757994E-07   0.206328E-03  -0.425214E-06
   161   0.491360E+04   0.105581E+01   0.000000E+00  -0.468546E+02   0.753686E-07   0.204491E-03  -0.425402E-06
   162   0.494502E+04   0.104628E+01   0.000000E+00  -0.465957E+02   0.749413E-07   0.202674E-03  -0.426138E-06
   163   0.497627E+04   0.103643E+01   0.000000E+00  -0.463086E+02   0.745175E-07   0.200875E-03  -0.427308E-06
   164   0.500705E+04   0.102634E+01   0.000000E+00  -0.459947E+02   0.740971E-07   0.199096E-03  -0.428797E-06
   165   0.503767E+04   0.101594E+01   0.000000E+00  -0.456516E+02   0.736801E-07   0.197336E-03  -0.430492E-06
   166   0.506796E+04   0.100538E+01   0.000000E+00  -0.452810E+02   0.732666E-07   0.195595E-03  -0.432278E-06
   167   0.509800E+04   0.994438E+00   0.000000E+00  -0.448833E+02   0.728565E-07   0.193873E-03  -0.434041E-06
   168   0.512756E+04   0.983486E+00   0.000000E+00  -0.444566E+02   0.724497E-07   0.192171E-03  -0.435667E-06
   169   0.515680E+04   0.972230E+00   0.000000E+00  -0.440006E+02   0.720463E-07   0.190488E-03  -0.437043E-06
   170   0.518571E+04   0.960892E+00   0.000000E+00  -0.435169E+02   0.716461E-07   0.188824E-03  -0.438053E-06
   171   0.521414E+04   0.949475E+00   0.000000E+00  -0.430032E+02   0.712493E-07   0.187180E-03  -0.438584E-06
   172   0.524217E+04   0.937905E+00   0.000000E+00  -0.424609E+02   0.708558E-07   0.185555E-03  -0.438523E-06
   173   0.526970E+04   0.926185E+00   0.000000E+00  -0.418902E+02   0.704655E-07   0.183950E-03  -0.437754E-06
   174   0.529690E+04   0.914612E+00   0.000000E+00  -0.412908E+02   0.700784E-07   0.182364E-03  -0.436165E-06
   175   0.532369E+04   0.902891E+00   0.000000E+00  -0.406621E+02   0.696945E-07   0.180798E-03  -0.433642E-06
   176   0.534992E+04   0.891246E+00   0.000000E+00  -0.400040E+02   0.693139E-07   0.179251E-03  -0.430097E-06
   177   0.537573E+04   0.879605E+00   0.000000E+00  -0.393180E+02   0.689363E-07   0.177724E-03  -0.425552E-06
   178   0.540105E+04   0.868193E+00   0.000000E+00  -0.386027E+02   0.685619E-07   0.176215E-03  -0.420059E-06
   179   0.542588E+04   0.856714E+00   0.000000E+00  -0.378580E+02   0.681906E-07   0.174725E-03  -0.413665E-06
   180   0.545038E+04   0.845393E+00   0.000000E+00  -0.370856E+02   0.678223E-07   0.173253E-03  -0.406421E-06
   181   0.547431E+04   0.834232E+00   0.000000E+00  -0.362852E+02   0.674571E-07   0.171798E-03  -0.398375E-06
   182   0.549775E+04   0.823308E+00   0.000000E+00  -0.354556E+02   0.670949E-07   0.170361E-03  -0.389578E-06
   183   0.552063E+04   0.812548E+00   0.000000E+00  -0.345981E+02   0.667356E-07   0.168940E-03  -0.380079E-06
   184   0.554310E+04   0.802029E+00   0.000000E+00  -0.337122E+02   0.663793E-07   0.167535E-03  -0.369927E-06
   185   0.556508E+04   0.791900E+00   0.000000E+00  -0.327999E+02   0.660259E-07   0.166146E-03  -0.359171E-06
   186   0.558621E+04   0.782023E+00   0.000000E+00  -0.318583E+02   0.656754E-07   0.164772E-03  -0.347862E-06
   187   0.560714E+04   0.772541E+00   0.000000E+00  -0.308890E+02   0.653277E-07   0.163414E-03  -0.336048E-06
   188   0.562751E+04   0.763441E+00   0.000000E+00  -0.298934E+02   0.649829E-07   0.162070E-03  -0.323778E-06
   189   0.564725E+04   0.754762E+00   0.000000E+00  -0.288701E+02   0.646409E-07   0.160740E-03  -0.311103E-06
   190   0.566680E+04   0.746558E+00   0.000000E+00  -0.278213E+02   0.643016E-07   0.159423E-03  -0.298072E-06
   191   0.568542E+04   0.738854E+00   0.000000E+00  -0.267440E+02   0.639650E-07   0.158120E-03  -0.284734E-06
   192   0.570363E+04   0.731672E+00   0.000000E+00  -0.256405E+02   0.636312E-07   0.156830E-03  -0.271138E-06
   193   0.572120E+04   0.725061E+00   0.000000E+00  -0.245123E+02   0.633000E-07   0.155552E-03  -0.257333E-06
   194   0.573836E+04   0.719052E+00   0.000000E+00  -0.233571E+02   0.629715E-07   0.154286E-03  -0.243370E-06
   195   0.575489E+04   0.713684E+00   0.000000E+00  -0.221773E+02   0.626456E-07   0.153032E-03  -0.229297E-06
   196   0.577079E+04   0.708995E+00   0.000000E+00  -0.209720E+02   0.623223E-07   0.151788E-03  -0.215163E-06
   197   0.578620E+04   0.705033E+00   0.000000E+00  -0.197427E+02   0.620015E-07   0.150556E-03  -0.201019E-06
   198   0.580105E+04   0.701822E+00   0.000000E+00  -0.184888E+02   0.616833E-07   0.149333E-03  -0.186912E-06
   199   0.581534E+04   0.699401E+00   0.000000E+00  -0.172110E+02   0.613676E-07   0.148121E-03  -0.172894E-06
   200   0.582908E+04   0.697801E+00   0.000000E+00  -0.159100E+02   0.610543E-07   0.146917E-03  -0.159012E-06
   201   0.584219E+04   0.697084E+00   0.000000E+00  -0.145852E+02   0.607435E-07   0.145723E-03  -0.145307E-06
   202   0.585473E+04   0.697260E+00   0.000000E+00  -0.132379E+02   0.604351E-07   0.144538E-03  -0.131784E-06
   203   0.586665E+04   0.698389E+00   0.000000E+00  -0.118677E+02   0.601291E-07   0.143362E-03  -0.118436E-06
   204   0.587786E+04   0.700498E+00   0.000000E+00  -0.104773E+02   0.598255E-07   0.142194E-03  -0.105260E-06
   205   0.588851E+04   0.703632E+00   0.000000E+00  -0.906475E+01   0.595243E-07   0.141035E-03  -0.922500E-07
   206   0.589845E+04   0.707830E+00   0.000000E+00  -0.763125E+01   0.592254E-07   0.139885E-03  -0.794009E-07
   207   0.590784E+04   0.713118E+00   0.000000E+00  -0.617731E+01   0.589288E-07   0.138744E-03  -0.667078E-07
   208   0.591644E+04   0.719549E+00   0.000000E+00  -0.470349E+01   0.586345E-07   0.137611E-03  -0.541658E-07
   209   0.592442E+04   0.727147E+00   0.000000E+00  -0.321021E+01   0.583425E-07   0.136487E-03  -0.417698E-07
   210   0.593176E+04   0.735968E+00   0.000000E+00  -0.169841E+01   0.580528E-07   0.135371E-03  -0.295148E-07
   211   0.593847E+04   0.746042E+00   0.000000E+00  -0.168171E+00   0.577653E-07   0.134263E-03  -0.173958E-07
   212   0.594440E+04   0.757403E+00   0.000000E+00   0.137951E+01   0.574800E-07   0.133164E-03  -0.540773E-08
   213   0.594977E+04   0.770095E+00   0.000000E+00   0.294464E+01   0.571970E-07   0.132073E-03   0.645430E-08
   214   0.595443E+04   0.784115E+00   0.000000E+00   0.452598E+01   0.569161E-07   0.130991E-03   0.181954E-07
   215   0.595846E+04   0.799658E+00   0.000000E+00   0.612273E+01   0.566374E-07   0.129917E-03   0.298205E-07
   216   0.596179E+04   0.816539E+00   0.000000E+00   0.773537E+01   0.563608E-07   0.128850E-03   0.413346E-07
   217   0.596455E+04   0.834918E+00   0.000000E+00   0.936187E+01   0.560863E-07   0.127792E-03   0.527428E-07
   218   0.596661E+04   0.854796E+00   0.000000E+00   0.110024E+02   0.558140E-07   0.126742E-03   0.640500E-07
