#    L    TT             EE             BB             TE          
   173   0.526956E+04   0.938659E+00   0.108214E-01  -0.416962E+02
   174   0.529663E+04   0.927398E+00   0.109620E-01  -0.410950E+02
   175   0.532328E+04   0.915996E+00   0.111036E-01  -0.404646E+02
   176   0.534937E+04   0.904676E+00   0.112464E-01  -0.398049E+02
   177   0.537504E+04   0.893368E+00   0.113902E-01  -0.391175E+02
   178   0.540023E+04   0.882295E+00   0.115351E-01  -0.384009E+02
   179   0.542492E+04   0.871162E+00   0.116811E-01  -0.376550E+02
   180   0.544927E+04   0.860195E+00   0.118282E-01  -0.368814E+02
   181   0.547305E+04   0.849394E+00   0.119763E-01  -0.360801E+02
   182   0.549635E+04   0.838837E+00   0.121254E-01  -0.352496E+02
   183   0.551909E+04   0.828451E+00   0.122756E-01  -0.343915E+02
   184   0.554141E+04   0.818312E+00   0.124269E-01  -0.335050E+02
   185   0.556324E+04   0.808571E+00   0.125791E-01  -0.325923E+02
   186   0.558421E+04   0.799087E+00   0.127324E-01  -0.316505E+02
   187   0.560499E+04   0.790006E+00   0.128867E-01  -0.306811E+02
   188   0.562521E+04   0.781312E+00   0.130419E-01  -0.296856E+02
   189   0.564480E+04   0.773046E+00   0.131982E-01  -0.286626E+02
   190   0.566419E+04   0.765261E+00   0.133554E-01  -0.276142E+02
   191   0.568265E+04   0.757982E+00   0.135136E-01  -0.265375E+02
   192   0.570071E+04   0.751232E+00   0.136727E-01  -0.254347E+02
   193   0.571812E+04   0.745058E+00   0.138328E-01  -0.243074E+02
   194   0.573513E+04   0.739491E+00   0.139938E-01  -0.231534E+02
   195   0.575150E+04   0.734570E+00   0.141557E-01  -0.219748E+02
   196   0.576724E+04   0.730335E+00   0.143185E-01  -0.207710E+02
   197   0.578249E+04   0.726832E+00   0.144822E-01  -0.195435E+02
   198   0.579719E+04   0.724084E+00   0.146468E-01  -0.182914E+02
   199   0.581133E+04   0.722130E+00   0.148123E-01  -0.170157E+02
   200   0.582491E+04   0.721003E+00   0.149787E-01  -0.157170E+02
   201   0.583786E+04   0.720763E+00   0.151458E-01  -0.143946E+02
   202   0.585025E+04   0.721419E+00   0.153139E-01  -0.130501E+02
   203   0.586201E+04   0.723033E+00   0.154827E-01  -0.116827E+02
   204   0.587306E+04   0.725630E+00   0.156524E-01  -0.102955E+02
   205   0.588356E+04   0.729255E+00   0.158228E-01  -0.888626E+01
   206   0.589335E+04   0.733948E+00   0.159940E-01  -0.745632E+01
   207   0.590258E+04   0.739733E+00   0.161660E-01  -0.600615E+01
   208   0.591103E+04   0.746663E+00   0.163388E-01  -0.453634E+01
   209   0.591885E+04   0.754764E+00   0.165122E-01  -0.304729E+01
   210   0.592605E+04   0.764088E+00   0.166865E-01  -0.153994E+01
   211   0.593260E+04   0.774668E+00   0.168614E-01  -0.143941E-01
   212   0.593838E+04   0.786534E+00   0.170370E-01   0.152837E+01
   213   0.594361E+04   0.799734E+00   0.172133E-01   0.308834E+01
   214   0.594812E+04   0.814262E+00   0.173902E-01   0.466429E+01
   215   0.595201E+04   0.830313E+00   0.175679E-01   0.625541E+01
   216   0.595519E+04   0.847702E+00   0.177461E-01   0.786219E+01
   217   0.595782E+04   0.866588E+00   0.179250E-01   0.948258E+01
   218   0.595974E+04   0.886972E+00   0.181044E-01   0.111167E+02
   219   0.596102E+04   0.908856E+00   0.182845E-01   0.127656E+02
   220   0.596168E+04   0.932391E+00   0.184651E-01   0.144247E+02
   221   0.596171E+04   0.957503E+00   0.186462E-01   0.160962E+02
   222   0.596110E+04   0.984344E+00   0.188279E-01   0.177785E+02
   223   0.595972E+04   0.101284E+01   0.190101E-01   0.194725E+02
   224   0.595786E+04   0.104299E+01   0.191927E-01   0.211742E+02
   225   0.595529E+04   0.107496E+01   0.193759E-01   0.228866E+02
   226   0.595209E+04   0.110873E+01   0.195595E-01   0.246061E+02
   227   0.594818E+04   0.114431E+01   0.197435E-01   0.263339E+02
   228   0.594372E+04   0.118170E+01   0.199279E-01   0.280687E+02
   229   0.593863E+04   0.122099E+01   0.201127E-01   0.298088E+02
   230   0.593283E+04   0.126216E+01   0.202979E-01   0.315550E+02
   231   0.592633E+04   0.130530E+01   0.204834E-01   0.333064E+02
   232   0.591928E+04   0.135033E+01   0.206693E-01   0.350617E+02
   233   0.591159E+04   0.139748E+01   0.208554E-01   0.368191E+02
   234   0.590313E+04   0.144661E+01   0.210418E-01   0.385795E+02
   235   0.589411E+04   0.149778E+01   0.212285E-01   0.403413E+02
   236   0.588438E+04   0.155099E+01   0.214153E-01   0.421045E+02
   237   0.587403E+04   0.160634E+01   0.216024E-01   0.438675E+02
   238   0.586305E+04   0.166388E+01   0.217897E-01   0.456304E+02
   239   0.585151E+04   0.172348E+01   0.219771E-01   0.473922E+02
   240   0.583919E+04   0.178520E+01   0.221647E-01   0.491508E+02
   241   0.582639E+04   0.184921E+01   0.223524E-01   0.509068E+02
   242   0.581296E+04   0.191535E+01   0.225401E-01   0.526596E+02
   243   0.579891E+04   0.198377E+01   0.227279E-01   0.544074E+02
   244   0.578422E+04   0.205440E+01   0.229157E-01   0.561511E+02
   245   0.576891E+04   0.212731E+01   0.231036E-01   0.578877E+02
   246   0.575304E+04   0.220252E+01   0.232914E-01   0.596186E+02
   247   0.573661E+04   0.227994E+01   0.234792E-01   0.613415E+02
   248   0.571956E+04   0.235994E+01   0.236669E-01   0.630563E+02
   249   0.570202E+04   0.244202E+01   0.238545E-01   0.647624E+02
