#    L    TT             EE             BB             TE             PP             TP             EP          
   193   0.547581E+04   0.693680E+00   0.000000E+00  -0.234045E+02   0.636038E-07   0.156539E-03  -0.527119E-07
   194   0.549217E+04   0.687963E+00   0.000000E+00  -0.222975E+02   0.632753E-07   0.155251E-03  -0.319503E-07
   195   0.550792E+04   0.682860E+00   0.000000E+00  -0.211669E+02   0.629495E-07   0.153974E-03  -0.110576E-07
   196   0.552306E+04   0.678410E+00   0.000000E+00  -0.200121E+02   0.626261E-07   0.152710E-03   0.981340E-08
   197   0.553774E+04   0.674658E+00   0.000000E+00  -0.188344E+02   0.623054E-07   0.151456E-03   0.305099E-07
   198   0.555189E+04   0.671627E+00   0.000000E+00  -0.176332E+02   0.619872E-07   0.150212E-03   0.508792E-07
   199   0.556551E+04   0.669354E+00   0.000000E+00  -0.164093E+02   0.616714E-07   0.148979E-03   0.707685E-07
   200   0.557859E+04   0.667869E+00   0.000000E+00  -0.151633E+02   0.613582E-07   0.147755E-03   0.900249E-07
   201   0.559108E+04   0.667232E+00   0.000000E+00  -0.138945E+02   0.610473E-07   0.146540E-03   0.108525E-06
   202   0.560303E+04   0.667451E+00   0.000000E+00  -0.126044E+02   0.607389E-07   0.145333E-03   0.126260E-06
   203   0.561437E+04   0.668587E+00   0.000000E+00  -0.112923E+02   0.604329E-07   0.144135E-03   0.143252E-06
   204   0.562504E+04   0.670663E+00   0.000000E+00  -0.996122E+01   0.601293E-07   0.142946E-03   0.159520E-06
   205   0.563518E+04   0.673722E+00   0.000000E+00  -0.860888E+01   0.598280E-07   0.141766E-03   0.175087E-06
   206   0.564464E+04   0.677805E+00   0.000000E+00  -0.723657E+01   0.595290E-07   0.140594E-03   0.189973E-06
   207   0.565356E+04   0.682933E+00   0.000000E+00  -0.584477E+01   0.592324E-07   0.139431E-03   0.204199E-06
   208   0.566173E+04   0.689159E+00   0.000000E+00  -0.443400E+01   0.589381E-07   0.138276E-03   0.217786E-06
   209   0.566930E+04   0.696506E+00   0.000000E+00  -0.300465E+01   0.586460E-07   0.137130E-03   0.230755E-06
   210   0.567627E+04   0.705027E+00   0.000000E+00  -0.155763E+01   0.583562E-07   0.135992E-03   0.243126E-06
   211   0.568262E+04   0.714753E+00   0.000000E+00  -0.929998E-01   0.580687E-07   0.134863E-03   0.254920E-06
   212   0.568823E+04   0.725713E+00   0.000000E+00   0.138828E+01   0.577833E-07   0.133742E-03   0.266159E-06
   213   0.569330E+04   0.737953E+00   0.000000E+00   0.288624E+01   0.575002E-07   0.132629E-03   0.276863E-06
   214   0.569769E+04   0.751467E+00   0.000000E+00   0.439967E+01   0.572192E-07   0.131524E-03   0.287053E-06
   215   0.570148E+04   0.766447E+00   0.000000E+00   0.592780E+01   0.569404E-07   0.130428E-03   0.296750E-06
   216   0.570459E+04   0.782710E+00   0.000000E+00   0.747115E+01   0.566638E-07   0.129340E-03   0.305975E-06
   217   0.570717E+04   0.800411E+00   0.000000E+00   0.902770E+01   0.563892E-07   0.128261E-03   0.314749E-06
   218   0.570907E+04   0.819552E+00   0.000000E+00   0.105976E+02   0.561168E-07   0.127189E-03   0.323092E-06
   219   0.571036E+04   0.840133E+00   0.000000E+00   0.121819E+02   0.558464E-07   0.126126E-03   0.331025E-06
