#    L    TT             EE             BB             TE             PP             TP             EP          
   142   0.409076E+04   0.111200E+01   0.000000E+00  -0.448061E+02   0.844766E-07   0.245984E-03  -0.533377E-06
   143   0.412470E+04   0.111068E+01   0.000000E+00  -0.450186E+02   0.839788E-07   0.243754E-03  -0.468515E-06
   144   0.415842E+04   0.110883E+01   0.000000E+00  -0.452100E+02   0.834850E-07   0.241555E-03  -0.404211E-06
   145   0.419200E+04   0.110660E+01   0.000000E+00  -0.453794E+02   0.829951E-07   0.239383E-03  -0.341372E-06
   146   0.422567E+04   0.110377E+01   0.000000E+00  -0.455269E+02   0.825091E-07   0.237238E-03  -0.280901E-06
   147   0.425897E+04   0.110054E+01   0.000000E+00  -0.456511E+02   0.820270E-07   0.235117E-03  -0.223706E-06
   148   0.429214E+04   0.109679E+01   0.000000E+00  -0.457534E+02   0.815487E-07   0.233016E-03  -0.170689E-06
   149   0.432523E+04   0.109258E+01   0.000000E+00  -0.458323E+02   0.810742E-07   0.230933E-03  -0.122757E-06
   150   0.435805E+04   0.108798E+01   0.000000E+00  -0.458858E+02   0.806036E-07   0.228866E-03  -0.808128E-07
   151   0.439072E+04   0.108293E+01   0.000000E+00  -0.459166E+02   0.801367E-07   0.226814E-03  -0.455443E-07
   152   0.442311E+04   0.107734E+01   0.000000E+00  -0.459234E+02   0.796735E-07   0.224774E-03  -0.167695E-07
   153   0.445535E+04   0.107138E+01   0.000000E+00  -0.459039E+02   0.792141E-07   0.222749E-03   0.591055E-08
   154   0.448738E+04   0.106503E+01   0.000000E+00  -0.458603E+02   0.787583E-07   0.220739E-03   0.228946E-07
   155   0.451919E+04   0.105830E+01   0.000000E+00  -0.457918E+02   0.783063E-07   0.218743E-03   0.345813E-07
   156   0.455063E+04   0.105118E+01   0.000000E+00  -0.456985E+02   0.778578E-07   0.216763E-03   0.413692E-07
   157   0.458200E+04   0.104369E+01   0.000000E+00  -0.455789E+02   0.774130E-07   0.214798E-03   0.436567E-07
