#    L    TT             EE             BB             TE          
   191   0.543705E+04   0.724971E+00   0.131010E-01  -0.253102E+02
   192   0.545424E+04   0.718560E+00   0.132552E-01  -0.242531E+02
   193   0.547082E+04   0.712702E+00   0.134102E-01  -0.231725E+02
   194   0.548701E+04   0.707429E+00   0.135662E-01  -0.220664E+02
   195   0.550260E+04   0.702778E+00   0.137230E-01  -0.209370E+02
   196   0.551758E+04   0.698785E+00   0.138807E-01  -0.197834E+02
   197   0.553209E+04   0.695496E+00   0.140392E-01  -0.186072E+02
   198   0.554608E+04   0.692933E+00   0.141987E-01  -0.174077E+02
   199   0.555953E+04   0.691135E+00   0.143589E-01  -0.161857E+02
   200   0.557246E+04   0.690130E+00   0.145200E-01  -0.149418E+02
   201   0.558478E+04   0.689978E+00   0.146819E-01  -0.136753E+02
   202   0.559657E+04   0.690688E+00   0.148445E-01  -0.123877E+02
   203   0.560775E+04   0.692319E+00   0.150080E-01  -0.110784E+02
   204   0.561825E+04   0.694894E+00   0.151723E-01  -0.975029E+01
   205   0.562823E+04   0.698458E+00   0.153373E-01  -0.840115E+01
   206   0.563753E+04   0.703049E+00   0.155031E-01  -0.703228E+01
   207   0.564629E+04   0.708689E+00   0.156696E-01  -0.564414E+01
   208   0.565431E+04   0.715430E+00   0.158368E-01  -0.423726E+01
   209   0.566172E+04   0.723296E+00   0.160048E-01  -0.281204E+01
   210   0.566852E+04   0.732339E+00   0.161734E-01  -0.136939E+01
   211   0.567472E+04   0.742589E+00   0.163428E-01   0.906298E-01
   212   0.568017E+04   0.754075E+00   0.165128E-01   0.156705E+01
   213   0.568509E+04   0.766843E+00   0.166835E-01   0.305992E+01
   214   0.568933E+04   0.780886E+00   0.168548E-01   0.456800E+01
   215   0.569297E+04   0.796398E+00   0.170267E-01   0.609053E+01
   216   0.569593E+04   0.813192E+00   0.171993E-01   0.762804E+01
   217   0.569836E+04   0.831426E+00   0.173724E-01   0.917848E+01
   218   0.570011E+04   0.851099E+00   0.175461E-01   0.107421E+02
   219   0.570126E+04   0.872211E+00   0.177204E-01   0.123198E+02
   220   0.570180E+04   0.894913E+00   0.178953E-01   0.139071E+02
   221   0.570174E+04   0.919129E+00   0.180707E-01   0.155062E+02
   222   0.570108E+04   0.945008E+00   0.182465E-01   0.171157E+02
   223   0.569966E+04   0.972477E+00   0.184229E-01   0.187363E+02
   224   0.569779E+04   0.100154E+01   0.185998E-01   0.203642E+02
   225   0.569525E+04   0.103233E+01   0.187771E-01   0.220024E+02
   226   0.569210E+04   0.106487E+01   0.189549E-01   0.236472E+02
   227   0.568827E+04   0.109914E+01   0.191330E-01   0.253000E+02
   228   0.568391E+04   0.113516E+01   0.193116E-01   0.269594E+02
   229   0.567895E+04   0.117298E+01   0.194906E-01   0.286238E+02
   230   0.567331E+04   0.121262E+01   0.196699E-01   0.302940E+02
   231   0.566700E+04   0.125415E+01   0.198495E-01   0.319692E+02
   232   0.566015E+04   0.129750E+01   0.200295E-01   0.336479E+02
   233   0.565271E+04   0.134288E+01   0.202097E-01   0.353287E+02
   234   0.564451E+04   0.139015E+01   0.203903E-01   0.370121E+02
   235   0.563578E+04   0.143938E+01   0.205710E-01   0.386969E+02
   236   0.562638E+04   0.149057E+01   0.207520E-01   0.403829E+02
   237   0.561637E+04   0.154381E+01   0.209332E-01   0.420686E+02
   238   0.560577E+04   0.159915E+01   0.211146E-01   0.437540E+02
   239   0.559463E+04   0.165646E+01   0.212962E-01   0.454385E+02
   240   0.558274E+04   0.171581E+01   0.214778E-01   0.471197E+02
   241   0.557040E+04   0.177734E+01   0.216596E-01   0.487983E+02
   242   0.555746E+04   0.184092E+01   0.218415E-01   0.504736E+02
   243   0.554391E+04   0.190668E+01   0.220234E-01   0.521442E+02
   244   0.552976E+04   0.197455E+01   0.222053E-01   0.538108E+02
   245   0.551501E+04   0.204461E+01   0.223873E-01   0.554703E+02
   246   0.549973E+04   0.211686E+01   0.225693E-01   0.571242E+02
   247   0.548393E+04   0.219122E+01   0.227512E-01   0.587704E+02
   248   0.546752E+04   0.226806E+01   0.229330E-01   0.604087E+02
   249   0.545066E+04   0.234687E+01   0.231148E-01   0.620385E+02
   250   0.543320E+04   0.242809E+01   0.232965E-01   0.636583E+02
   251   0.541528E+04   0.251143E+01   0.234780E-01   0.652687E+02
   252   0.539669E+04   0.259710E+01   0.236594E-01   0.668683E+02
   253   0.537779E+04   0.268488E+01   0.238406E-01   0.684556E+02
   254   0.535829E+04   0.277506E+01   0.240216E-01   0.700307E+02
   255   0.533827E+04   0.286736E+01   0.242024E-01   0.715934E+02
   256   0.531779E+04   0.296214E+01   0.243829E-01   0.731438E+02
   257   0.529687E+04   0.305895E+01   0.245632E-01   0.746737E+02
   258   0.527541E+04   0.315816E+01   0.247431E-01   0.761957E+02
   259   0.525351E+04   0.325963E+01   0.249228E-01   0.776950E+02
   260   0.523123E+04   0.336335E+01   0.251021E-01   0.791864E+02
   261   0.520842E+04   0.346925E+01   0.252811E-01   0.806476E+02
   262   0.518509E+04   0.357755E+01   0.254598E-01   0.821010E+02
   263   0.516161E+04   0.368802E+01   0.256380E-01   0.835390E+02
   264   0.513752E+04   0.380074E+01   0.258158E-01   0.849542E+02
   265   0.511292E+04   0.391564E+01   0.259932E-01   0.863393E+02
   266   0.508801E+04   0.403293E+01   0.261702E-01   0.877164E+02
   267   0.506258E+04   0.415224E+01   0.263467E-01   0.890634E+02
   268   0.503677E+04   0.427395E+01   0.265227E-01   0.903950E+02
   269   0.501044E+04   0.439775E+01   0.266983E-01   0.917038E+02
   270   0.498389E+04   0.452372E+01   0.268733E-01   0.929898E+02
   271   0.495688E+04   0.465179E+01   0.270479E-01   0.942531E+02
