#    L    TT             EE             BB             TE          
   342   0.271297E+04   0.168458E+02   0.377056E-01   0.992089E+02
   343   0.268526E+04   0.170110E+02   0.378319E-01   0.979983E+02
   344   0.265793E+04   0.171746E+02   0.379578E-01   0.967579E+02
   345   0.263082E+04   0.173359E+02   0.380833E-01   0.954876E+02
   346   0.260410E+04   0.174964E+02   0.382085E-01   0.941949E+02
   347   0.257768E+04   0.176539E+02   0.383334E-01   0.928649E+02
   348   0.255164E+04   0.178091E+02   0.384579E-01   0.915051E+02
   349   0.252590E+04   0.179627E+02   0.385822E-01   0.901154E+02
   350   0.250054E+04   0.181133E+02   0.387062E-01   0.887034E+02
   351   0.247570E+04   0.182623E+02   0.388300E-01   0.872615E+02
   352   0.245102E+04   0.184091E+02   0.389536E-01   0.857898E+02
   353   0.242680E+04   0.185528E+02   0.390769E-01   0.843032E+02
   354   0.240288E+04   0.186943E+02   0.392001E-01   0.827794E+02
   355   0.237941E+04   0.188335E+02   0.393232E-01   0.812332E+02
   356   0.235631E+04   0.189703E+02   0.394461E-01   0.796722E+02
   357   0.233360E+04   0.191042E+02   0.395690E-01   0.780815E+02
   358   0.231134E+04   0.192342E+02   0.396918E-01   0.764760E+02
   359   0.228938E+04   0.193620E+02   0.398145E-01   0.748408E+02
   360   0.226787E+04   0.194875E+02   0.399372E-01   0.731872E+02
   361   0.224674E+04   0.196100E+02   0.400599E-01   0.715105E+02
   362   0.222606E+04   0.197295E+02   0.401827E-01   0.698140E+02
   363   0.220575E+04   0.198467E+02   0.403055E-01   0.680997E+02
   364   0.218590E+04   0.199594E+02   0.404284E-01   0.663640E+02
   365   0.216642E+04   0.200698E+02   0.405513E-01   0.646129E+02
   366   0.214740E+04   0.201772E+02   0.406744E-01   0.628434E+02
   367   0.212883E+04   0.202800E+02   0.407977E-01   0.610578E+02
   368   0.211055E+04   0.203807E+02   0.409211E-01   0.592575E+02
   369   0.209288E+04   0.204783E+02   0.410446E-01   0.574404E+02
   370   0.207558E+04   0.205721E+02   0.411684E-01   0.556116E+02
   371   0.205866E+04   0.206622E+02   0.412924E-01   0.537675E+02
   372   0.204219E+04   0.207493E+02   0.414167E-01   0.519125E+02
   373   0.202617E+04   0.208326E+02   0.415413E-01   0.500437E+02
   374   0.201060E+04   0.209129E+02   0.416661E-01   0.481648E+02
   375   0.199541E+04   0.209895E+02   0.417913E-01   0.462758E+02
   376   0.198074E+04   0.210630E+02   0.419167E-01   0.443768E+02
   377   0.196652E+04   0.211321E+02   0.420426E-01   0.424707E+02
   378   0.195267E+04   0.211974E+02   0.421688E-01   0.405545E+02
   379   0.193928E+04   0.212597E+02   0.422954E-01   0.386328E+02
   380   0.192641E+04   0.213191E+02   0.424224E-01   0.367032E+02
   381   0.191391E+04   0.213717E+02   0.425499E-01   0.347689E+02
   382   0.190179E+04   0.214228E+02   0.426778E-01   0.328305E+02
   383   0.189020E+04   0.214694E+02   0.428062E-01   0.308866E+02
   384   0.187913E+04   0.215115E+02   0.429351E-01   0.289409E+02
   385   0.186835E+04   0.215514E+02   0.430644E-01   0.269920E+02
   386   0.185811E+04   0.215868E+02   0.431943E-01   0.250420E+02
   387   0.184823E+04   0.216177E+02   0.433248E-01   0.230909E+02
   388   0.183881E+04   0.216449E+02   0.434558E-01   0.211404E+02
   389   0.182984E+04   0.216661E+02   0.435874E-01   0.191903E+02
   390   0.182131E+04   0.216865E+02   0.437196E-01   0.172429E+02
   391   0.181324E+04   0.217018E+02   0.438524E-01   0.152968E+02
   392   0.180554E+04   0.217148E+02   0.439858E-01   0.133549E+02
   393   0.179836E+04   0.217226E+02   0.441199E-01   0.114165E+02
   394   0.179156E+04   0.217266E+02   0.442547E-01   0.948378E+01
