#    L    TT             EE             TE             PP             TP          
   231   0.567773E+04   0.121625E+01   0.319466E+02   0.244124E+07   0.194064E+04
   232   0.567100E+04   0.125912E+01   0.336355E+02   0.242999E+07   0.192433E+04
   233   0.566367E+04   0.130404E+01   0.353266E+02   0.241882E+07   0.190815E+04
   234   0.565558E+04   0.135086E+01   0.370207E+02   0.240773E+07   0.189209E+04
   235   0.564696E+04   0.139965E+01   0.387163E+02   0.239672E+07   0.187616E+04
   236   0.563766E+04   0.145041E+01   0.404133E+02   0.238580E+07   0.186036E+04
   237   0.562776E+04   0.150322E+01   0.421104E+02   0.237495E+07   0.184468E+04
   238   0.561724E+04   0.155815E+01   0.438074E+02   0.236418E+07   0.182913E+04
   239   0.560620E+04   0.161506E+01   0.455037E+02   0.235348E+07   0.181369E+04
   240   0.559440E+04   0.167401E+01   0.471969E+02   0.234286E+07   0.179839E+04
   241   0.558214E+04   0.173517E+01   0.488878E+02   0.233232E+07   0.178320E+04
   242   0.556928E+04   0.179837E+01   0.505756E+02   0.232185E+07   0.176814E+04
   243   0.555581E+04   0.186378E+01   0.522589E+02   0.231145E+07   0.175320E+04
   244   0.554174E+04   0.193131E+01   0.539383E+02   0.230113E+07   0.173837E+04
   245   0.552705E+04   0.200104E+01   0.556109E+02   0.229088E+07   0.172367E+04
   246   0.551184E+04   0.207298E+01   0.572782E+02   0.228070E+07   0.170909E+04
   247   0.549609E+04   0.214704E+01   0.589379E+02   0.227058E+07   0.169463E+04
   248   0.547974E+04   0.222361E+01   0.605900E+02   0.226054E+07   0.168029E+04
   249   0.546293E+04   0.230216E+01   0.622337E+02   0.225057E+07   0.166606E+04
   250   0.544552E+04   0.238313E+01   0.638676E+02   0.224066E+07   0.165195E+04
   251   0.542764E+04   0.246624E+01   0.654923E+02   0.223082E+07   0.163796E+04
   252   0.540909E+04   0.255170E+01   0.671064E+02   0.222105E+07   0.162408E+04
   253   0.539022E+04   0.263929E+01   0.687084E+02   0.221134E+07   0.161032E+04
   254   0.537075E+04   0.272931E+01   0.702982E+02   0.220169E+07   0.159667E+04
   255   0.535075E+04   0.282146E+01   0.718759E+02   0.219212E+07   0.158313E+04
   256   0.533029E+04   0.291611E+01   0.734414E+02   0.218260E+07   0.156970E+04
   257   0.530938E+04   0.301281E+01   0.749866E+02   0.217315E+07   0.155638E+04
   258   0.528793E+04   0.311194E+01   0.765240E+02   0.216376E+07   0.154318E+04
   259   0.526603E+04   0.321335E+01   0.780388E+02   0.215443E+07   0.153007E+04
   260   0.524374E+04   0.331703E+01   0.795459E+02   0.214517E+07   0.151708E+04
   261   0.522093E+04   0.342292E+01   0.810229E+02   0.213596E+07   0.150419E+04
   262   0.519759E+04   0.353123E+01   0.824922E+02   0.212682E+07   0.149140E+04
   263   0.517408E+04   0.364174E+01   0.839462E+02   0.211774E+07   0.147872E+04
   264   0.514997E+04   0.375452E+01   0.853775E+02   0.210872E+07   0.146614E+04
   265   0.512534E+04   0.386950E+01   0.867788E+02   0.209975E+07   0.145365E+04
   266   0.510039E+04   0.398691E+01   0.881722E+02   0.209085E+07   0.144127E+04
   267   0.507492E+04   0.410637E+01   0.895355E+02   0.208201E+07   0.142899E+04
   268   0.504907E+04   0.422825E+01   0.908835E+02   0.207322E+07   0.141680E+04
   269   0.502269E+04   0.435225E+01   0.922088E+02   0.206449E+07   0.140471E+04
   270   0.499608E+04   0.447845E+01   0.935114E+02   0.205581E+07   0.139272E+04
   271   0.496901E+04   0.460677E+01   0.947912E+02   0.204720E+07   0.138081E+04
   272   0.494171E+04   0.473751E+01   0.960408E+02   0.203864E+07   0.136900E+04
   273   0.491396E+04   0.487008E+01   0.972751E+02   0.203013E+07   0.135729E+04
   274   0.488590E+04   0.500506E+01   0.984717E+02   0.202168E+07   0.134566E+04
   275   0.485747E+04   0.514195E+01   0.996530E+02   0.201329E+07   0.133412E+04
   276   0.482880E+04   0.528095E+01   0.100797E+03   0.200494E+07   0.132267E+04
   277   0.479968E+04   0.542208E+01   0.101925E+03   0.199665E+07   0.131131E+04
   278   0.477033E+04   0.556525E+01   0.103015E+03   0.198842E+07   0.130003E+04
   279   0.474068E+04   0.571039E+01   0.104076E+03   0.198024E+07   0.128883E+04
   280   0.471072E+04   0.585751E+01   0.105120E+03   0.197210E+07   0.127772E+04
   281   0.468061E+04   0.600666E+01   0.106128E+03   0.196402E+07   0.126670E+04
   282   0.465005E+04   0.615757E+01   0.107104E+03   0.195599E+07   0.125575E+04
   283   0.461933E+04   0.631044E+01   0.108051E+03   0.194802E+07   0.124488E+04
   284   0.458838E+04   0.646521E+01   0.108967E+03   0.194009E+07   0.123410E+04
   285   0.455721E+04   0.662187E+01   0.109853E+03   0.193221E+07   0.122339E+04
   286   0.452573E+04   0.678028E+01   0.110701E+03   0.192438E+07   0.121275E+04
   287   0.449402E+04   0.694043E+01   0.111526E+03   0.191659E+07   0.120219E+04
   288   0.446216E+04   0.710233E+01   0.112313E+03   0.190886E+07   0.119171E+04
   289   0.443008E+04   0.726590E+01   0.113070E+03   0.190117E+07   0.118130E+04
   290   0.439783E+04   0.743098E+01   0.113796E+03   0.189353E+07   0.117096E+04
   291   0.436544E+04   0.759833E+01   0.114477E+03   0.188594E+07   0.116070E+04
   292   0.433260E+04   0.776683E+01   0.115136E+03   0.187839E+07   0.115050E+04
   293   0.429990E+04   0.793611E+01   0.115749E+03   0.187089E+07   0.114037E+04
   294   0.426690E+04   0.810764E+01   0.116338E+03   0.186343E+07   0.113031E+04
   295   0.423397E+04   0.827996E+01   0.116883E+03   0.185602E+07   0.112031E+04
   296   0.420073E+04   0.845453E+01   0.117397E+03   0.184865E+07   0.111038E+04
   297   0.416743E+04   0.862913E+01   0.117880E+03   0.184132E+07   0.110052E+04
   298   0.413389E+04   0.880600E+01   0.118319E+03   0.183404E+07   0.109071E+04
   299   0.410035E+04   0.898438E+01   0.118719E+03   0.182680E+07   0.108097E+04
   300   0.406666E+04   0.916279E+01   0.119081E+03   0.181960E+07   0.107129E+04
   301   0.403290E+04   0.934272E+01   0.119413E+03   0.181244E+07   0.106167E+04
   302   0.399913E+04   0.952342E+01   0.119714E+03   0.180533E+07   0.105211E+04
   303   0.396529E+04   0.970563E+01   0.119970E+03   0.179825E+07   0.104261E+04
   304   0.393136E+04   0.988935E+01   0.120180E+03   0.179122E+07   0.103317E+04
   305   0.389744E+04   0.100731E+02   0.120360E+03   0.178422E+07   0.102379E+04
   306   0.386344E+04   0.102576E+02   0.120502E+03   0.177727E+07   0.101446E+04
   307   0.382944E+04   0.104429E+02   0.120599E+03   0.177035E+07   0.100520E+04
   308   0.379544E+04   0.106304E+02   0.120672E+03   0.176348E+07   0.996005E+03
   309   0.376152E+04   0.108172E+02   0.120693E+03   0.175664E+07   0.986866E+03
   310   0.372751E+04   0.110040E+02   0.120683E+03   0.174984E+07   0.977789E+03
   311   0.369358E+04   0.111930E+02   0.120628E+03   0.174308E+07   0.968772E+03
   312   0.365973E+04   0.113813E+02   0.120542E+03   0.173636E+07   0.959817E+03
   313   0.362588E+04   0.115704E+02   0.120411E+03   0.172968E+07   0.950924E+03
   314   0.359210E+04   0.117602E+02   0.120249E+03   0.172303E+07   0.942092E+03
   315   0.355839E+04   0.119492E+02   0.120042E+03   0.171643E+07   0.933323E+03
   316   0.352476E+04   0.121391E+02   0.119797E+03   0.170985E+07   0.924615E+03
   317   0.349121E+04   0.123281E+02   0.119514E+03   0.170332E+07   0.915970E+03
   318   0.345773E+04   0.125187E+02   0.119193E+03   0.169682E+07   0.907387E+03
   319   0.342440E+04   0.127085E+02   0.118834E+03   0.169036E+07   0.898866E+03
   320   0.339122E+04   0.128983E+02   0.118445E+03   0.168394E+07   0.890409E+03
   321   0.335812E+04   0.130888E+02   0.118010E+03   0.167755E+07   0.882014E+03
