#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.820616E-01   0.338484E+07   0.337070E+07   0.250926E+02  -0.125754E+02   0.000000E+00   0.338265E+07   0.338265E+07   0.338265E+07  -0.803995E-01   0.177343E+07   0.177323E+07   0.814808E+00
   0.863806E-01   0.316005E+07   0.314477E+07   0.211395E+02  -0.105947E+02   0.000000E+00   0.315769E+07   0.315769E+07   0.315769E+07  -0.750526E-01   0.165549E+07   0.165528E+07   0.799376E+00
   0.906996E-01   0.295047E+07   0.293417E+07   0.179002E+02  -0.897160E+01   0.000000E+00   0.294795E+07   0.294795E+07   0.294795E+07  -0.700675E-01   0.154553E+07   0.154532E+07   0.777767E+00
   0.960627E-01   0.271924E+07   0.270231E+07   0.147047E+02  -0.737033E+01   0.000000E+00   0.271662E+07   0.271662E+07   0.271662E+07  -0.645692E-01   0.142425E+07   0.142404E+07   0.731169E+00
   0.101426E+00   0.252655E+07   0.250999E+07   0.122553E+02  -0.614272E+01   0.000000E+00   0.252399E+07   0.252399E+07   0.252399E+07  -0.599907E-01   0.132326E+07   0.132306E+07   0.660693E+00
   0.106789E+00   0.237337E+07   0.235812E+07   0.103853E+02  -0.520534E+01   0.000000E+00   0.237101E+07   0.237101E+07   0.237101E+07  -0.563547E-01   0.124306E+07   0.124288E+07   0.573367E+00
   0.112152E+00   0.225324E+07   0.223994E+07   0.894015E+01  -0.448083E+01   0.000000E+00   0.225118E+07   0.225118E+07   0.225118E+07  -0.535066E-01   0.118024E+07   0.118007E+07   0.481061E+00
   0.117515E+00   0.215509E+07   0.214396E+07   0.778916E+01  -0.390377E+01   0.000000E+00   0.215337E+07   0.215337E+07   0.215337E+07  -0.511817E-01   0.112895E+07   0.112881E+07   0.395976E+00
   0.122878E+00   0.206767E+07   0.205847E+07   0.683602E+01  -0.342593E+01   0.000000E+00   0.206625E+07   0.206625E+07   0.206625E+07  -0.491110E-01   0.108328E+07   0.108315E+07   0.327294E+00
   0.128241E+00   0.198210E+07   0.197427E+07   0.601703E+01  -0.301540E+01   0.000000E+00   0.198089E+07   0.198089E+07   0.198089E+07  -0.470822E-01   0.103852E+07   0.103842E+07   0.279334E+00
   0.133604E+00   0.189288E+07   0.188574E+07   0.529429E+01  -0.265319E+01   0.000000E+00   0.189178E+07   0.189178E+07   0.189178E+07  -0.449642E-01   0.991804E+06   0.991703E+06   0.251365E+00
   0.138967E+00   0.179861E+07   0.179153E+07   0.464966E+01  -0.233017E+01   0.000000E+00   0.179751E+07   0.179751E+07   0.179751E+07  -0.427236E-01   0.942383E+06   0.942284E+06   0.238810E+00
   0.144330E+00   0.170159E+07   0.169415E+07   0.407768E+01  -0.204358E+01   0.000000E+00   0.170044E+07   0.170044E+07   0.170044E+07  -0.404165E-01   0.891494E+06   0.891392E+06   0.235140E+00
   0.149694E+00   0.160615E+07   0.159819E+07   0.357772E+01  -0.179308E+01   0.000000E+00   0.160492E+07   0.160492E+07   0.160492E+07  -0.381461E-01   0.841416E+06   0.841311E+06   0.233789E+00
   0.155057E+00   0.151690E+07   0.150851E+07   0.314887E+01  -0.157820E+01   0.000000E+00   0.151560E+07   0.151560E+07   0.151560E+07  -0.360231E-01   0.794589E+06   0.794482E+06   0.229680E+00
   0.160420E+00   0.143780E+07   0.142928E+07   0.278823E+01  -0.139749E+01   0.000000E+00   0.143648E+07   0.143648E+07   0.143648E+07  -0.341426E-01   0.753109E+06   0.753003E+06   0.220087E+00
   0.165783E+00   0.137117E+07   0.136288E+07   0.248971E+01  -0.124787E+01   0.000000E+00   0.136988E+07   0.136988E+07   0.136988E+07  -0.325597E-01   0.718195E+06   0.718093E+06   0.204723E+00
   0.171146E+00   0.131668E+07   0.130894E+07   0.224336E+01  -0.112438E+01   0.000000E+00   0.131548E+07   0.131548E+07   0.131548E+07  -0.312667E-01   0.689673E+06   0.689578E+06   0.185194E+00
   0.176509E+00   0.127163E+07   0.126465E+07   0.203710E+01  -0.102098E+01   0.000000E+00   0.127055E+07   0.127055E+07   0.127055E+07  -0.301987E-01   0.666116E+06   0.666029E+06   0.164125E+00
   0.181872E+00   0.123235E+07   0.122617E+07   0.185963E+01  -0.932004E+00   0.000000E+00   0.123140E+07   0.123140E+07   0.123140E+07  -0.292681E-01   0.645588E+06   0.645509E+06   0.144269E+00
   0.187235E+00   0.119542E+07   0.118994E+07   0.170217E+01  -0.853067E+00   0.000000E+00   0.119457E+07   0.119457E+07   0.119457E+07  -0.283927E-01   0.626278E+06   0.626207E+06   0.127768E+00
   0.192598E+00   0.115808E+07   0.115310E+07   0.155853E+01  -0.781068E+00   0.000000E+00   0.115731E+07   0.115731E+07   0.115731E+07  -0.275072E-01   0.606744E+06   0.606677E+06   0.115719E+00
   0.197961E+00   0.111865E+07   0.111393E+07   0.142503E+01  -0.714160E+00   0.000000E+00   0.111792E+07   0.111792E+07   0.111792E+07  -0.265711E-01   0.586096E+06   0.586031E+06   0.108082E+00
   0.203324E+00   0.107692E+07   0.107224E+07   0.130042E+01  -0.651716E+00   0.000000E+00   0.107620E+07   0.107620E+07   0.107620E+07  -0.255793E-01   0.564219E+06   0.564156E+06   0.103920E+00
   0.208687E+00   0.103403E+07   0.102925E+07   0.118521E+01  -0.593990E+00   0.000000E+00   0.103329E+07   0.103329E+07   0.103329E+07  -0.245595E-01   0.541726E+06   0.541662E+06   0.101794E+00
   0.214050E+00   0.991810E+06   0.986880E+06   0.108049E+01  -0.541520E+00   0.000000E+00   0.991047E+06   0.991047E+06   0.991047E+06  -0.235554E-01   0.519579E+06   0.519514E+06   0.100208E+00
   0.219414E+00   0.952029E+06   0.946990E+06   0.987011E+00  -0.494679E+00   0.000000E+00   0.951250E+06   0.951250E+06   0.951250E+06  -0.226095E-01   0.498714E+06   0.498650E+06   0.979659E-01
   0.224777E+00   0.916018E+06   0.910972E+06   0.904863E+00  -0.453513E+00   0.000000E+00   0.915238E+06   0.915238E+06   0.915238E+06  -0.217536E-01   0.479835E+06   0.479771E+06   0.943931E-01
