#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   124   0.347152E+04  -0.378148E+02   0.294191E-03  -0.378148E+02   0.105204E+01  -0.833306E-06   0.294191E-03  -0.833306E-06   0.941423E-07
   125   0.350590E+04  -0.383347E+02   0.291013E-03  -0.383347E+02   0.105938E+01  -0.883528E-06   0.291013E-03  -0.883528E-06   0.935690E-07
   126   0.354035E+04  -0.388424E+02   0.287898E-03  -0.388424E+02   0.106634E+01  -0.927894E-06   0.287898E-03  -0.927894E-06   0.930000E-07
   127   0.357482E+04  -0.393372E+02   0.284847E-03  -0.393372E+02   0.107278E+01  -0.965327E-06   0.284847E-03  -0.965327E-06   0.924354E-07
   128   0.360928E+04  -0.398183E+02   0.281859E-03  -0.398183E+02   0.107883E+01  -0.994750E-06   0.281859E-03  -0.994750E-06   0.918750E-07
   129   0.364382E+04  -0.402847E+02   0.278934E-03  -0.402847E+02   0.108436E+01  -0.101509E-05   0.278934E-03  -0.101509E-05   0.913189E-07
   130   0.367837E+04  -0.407357E+02   0.276073E-03  -0.407357E+02   0.108936E+01  -0.102526E-05   0.276073E-03  -0.102526E-05   0.907672E-07
   131   0.371291E+04  -0.411727E+02   0.273276E-03  -0.411727E+02   0.109398E+01  -0.102452E-05   0.273276E-03  -0.102452E-05   0.902197E-07
   132   0.374754E+04  -0.415928E+02   0.270539E-03  -0.415928E+02   0.109806E+01  -0.101345E-05   0.270539E-03  -0.101345E-05   0.896766E-07
   133   0.378209E+04  -0.419982E+02   0.267861E-03  -0.419982E+02   0.110169E+01  -0.992948E-06   0.267861E-03  -0.992948E-06   0.891377E-07
   134   0.381665E+04  -0.423845E+02   0.265239E-03  -0.423845E+02   0.110486E+01  -0.963928E-06   0.265239E-03  -0.963928E-06   0.886031E-07
   135   0.385121E+04  -0.427546E+02   0.262671E-03  -0.427546E+02   0.110750E+01  -0.927296E-06   0.262671E-03  -0.927296E-06   0.880727E-07
   136   0.388563E+04  -0.431048E+02   0.260154E-03  -0.431048E+02   0.110961E+01  -0.883956E-06   0.260154E-03  -0.883956E-06   0.875464E-07
   137   0.392005E+04  -0.434375E+02   0.257685E-03  -0.434375E+02   0.111127E+01  -0.834817E-06   0.257685E-03  -0.834817E-06   0.870243E-07
   138   0.395440E+04  -0.437510E+02   0.255262E-03  -0.437510E+02   0.111239E+01  -0.780784E-06   0.255262E-03  -0.780784E-06   0.865063E-07
   139   0.398854E+04  -0.440448E+02   0.252883E-03  -0.440448E+02   0.111312E+01  -0.722765E-06   0.252883E-03  -0.722765E-06   0.859925E-07
   140   0.402275E+04  -0.443196E+02   0.250545E-03  -0.443196E+02   0.111325E+01  -0.661667E-06   0.250545E-03  -0.661667E-06   0.854826E-07
   141   0.405675E+04  -0.445731E+02   0.248245E-03  -0.445731E+02   0.111285E+01  -0.598397E-06   0.248245E-03  -0.598397E-06   0.849769E-07
   142   0.409076E+04  -0.448061E+02   0.245981E-03  -0.448061E+02   0.111200E+01  -0.533860E-06   0.245981E-03  -0.533860E-06   0.844751E-07
   143   0.412470E+04  -0.450186E+02   0.243751E-03  -0.450186E+02   0.111068E+01  -0.468964E-06   0.243751E-03  -0.468964E-06   0.839773E-07
   144   0.415842E+04  -0.452100E+02   0.241552E-03  -0.452100E+02   0.110883E+01  -0.404616E-06   0.241552E-03  -0.404616E-06   0.834835E-07
   145   0.419200E+04  -0.453794E+02   0.239381E-03  -0.453794E+02   0.110660E+01  -0.341723E-06   0.239381E-03  -0.341723E-06   0.829936E-07
   146   0.422567E+04  -0.455269E+02   0.237236E-03  -0.455269E+02   0.110376E+01  -0.281191E-06   0.237236E-03  -0.281191E-06   0.825076E-07
   147   0.425897E+04  -0.456511E+02   0.235114E-03  -0.456511E+02   0.110054E+01  -0.223927E-06   0.235114E-03  -0.223927E-06   0.820255E-07
   148   0.429214E+04  -0.457534E+02   0.233013E-03  -0.457534E+02   0.109679E+01  -0.170838E-06   0.233013E-03  -0.170838E-06   0.815473E-07
   149   0.432523E+04  -0.458323E+02   0.230931E-03  -0.458323E+02   0.109258E+01  -0.122831E-06   0.230931E-03  -0.122831E-06   0.810728E-07
   150   0.435805E+04  -0.458857E+02   0.228864E-03  -0.458857E+02   0.108798E+01  -0.808129E-07   0.228864E-03  -0.808129E-07   0.806021E-07
   151   0.439072E+04  -0.459166E+02   0.226812E-03  -0.459166E+02   0.108293E+01  -0.454723E-07   0.226812E-03  -0.454723E-07   0.801352E-07
   152   0.442311E+04  -0.459233E+02   0.224773E-03  -0.459233E+02   0.107734E+01  -0.166292E-07   0.224773E-03  -0.166292E-07   0.796721E-07
   153   0.445535E+04  -0.459038E+02   0.222748E-03  -0.459038E+02   0.107137E+01   0.611447E-08   0.222748E-03   0.611447E-08   0.792126E-07
   154   0.448738E+04  -0.458602E+02   0.220737E-03  -0.458602E+02   0.106502E+01   0.231566E-07   0.220737E-03   0.231566E-07   0.787568E-07
   155   0.451919E+04  -0.457918E+02   0.218742E-03  -0.457918E+02   0.105829E+01   0.348953E-07   0.218742E-03   0.348953E-07   0.783047E-07
   156   0.455063E+04  -0.456985E+02   0.216761E-03  -0.456985E+02   0.105118E+01   0.417284E-07   0.216761E-03   0.417284E-07   0.778563E-07
   157   0.458200E+04  -0.455788E+02   0.214796E-03  -0.455788E+02   0.104369E+01   0.440539E-07   0.214796E-03   0.440539E-07   0.774115E-07
   158   0.461308E+04  -0.454336E+02   0.212847E-03  -0.454336E+02   0.103590E+01   0.422697E-07   0.212847E-03   0.422697E-07   0.769702E-07
   159   0.464385E+04  -0.452627E+02   0.210914E-03  -0.452627E+02   0.102765E+01   0.367739E-07   0.210914E-03   0.367739E-07   0.765325E-07
   160   0.467440E+04  -0.450646E+02   0.208998E-03  -0.450646E+02   0.101910E+01   0.279644E-07   0.208998E-03   0.279644E-07   0.760984E-07
   161   0.470472E+04  -0.448409E+02   0.207099E-03  -0.448409E+02   0.101032E+01   0.162391E-07   0.207099E-03   0.162391E-07   0.756678E-07
   162   0.473474E+04  -0.445915E+02   0.205218E-03  -0.445915E+02   0.100116E+01   0.199607E-08   0.205218E-03   0.199607E-08   0.752407E-07
   163   0.476461E+04  -0.443149E+02   0.203354E-03  -0.443149E+02   0.991703E+00  -0.143668E-07   0.203354E-03  -0.143668E-07   0.748171E-07
   164   0.479402E+04  -0.440126E+02   0.201508E-03  -0.440126E+02   0.982020E+00  -0.324515E-07   0.201508E-03  -0.324515E-07   0.743970E-07
   165   0.482327E+04  -0.436824E+02   0.199680E-03  -0.436824E+02   0.972037E+00  -0.518601E-07   0.199680E-03  -0.518601E-07   0.739802E-07
   166   0.485221E+04  -0.433257E+02   0.197872E-03  -0.433257E+02   0.961904E+00  -0.721946E-07   0.197872E-03  -0.721946E-07   0.735669E-07
   167   0.488092E+04  -0.429432E+02   0.196083E-03  -0.429432E+02   0.951398E+00  -0.930571E-07   0.196083E-03  -0.930571E-07   0.731570E-07
   168   0.490917E+04  -0.425327E+02   0.194313E-03  -0.425327E+02   0.940891E+00  -0.114050E-06   0.194313E-03  -0.114050E-06   0.727504E-07
   169   0.493711E+04  -0.420943E+02   0.192563E-03  -0.420943E+02   0.930088E+00  -0.134774E-06   0.192563E-03  -0.134774E-06   0.723472E-07
   170   0.496473E+04  -0.416293E+02   0.190834E-03  -0.416293E+02   0.919211E+00  -0.154833E-06   0.190834E-03  -0.154833E-06   0.719472E-07
   171   0.499189E+04  -0.411355E+02   0.189125E-03  -0.411355E+02   0.908262E+00  -0.173827E-06   0.189125E-03  -0.173827E-06   0.715506E-07
